Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
1058,,Brasiléia,ACRE,AC,Sim
1074,,Cruzeiro do Sul,ACRE,AC,Sim
1090,,Mâncio Lima,ACRE,AC,Sim
1139,,Feijó,ACRE,AC,Sim
1392,,Rio Branco,ACRE,AC,Sim
1457,,Sena Madureira,ACRE,AC,Sim
1473,,Tarauacá,ACRE,AC,Sim
1490,,Xapuri,ACRE,AC,Sim
1511,,Plácido de Castro,ACRE,AC,Sim
1538,,Senador Guiomard,ACRE,AC,Sim
1554,,Manoel Urbano,ACRE,AC,Sim
1570,,Assis Brasil,ACRE,AC,Sim
6432,,Acrelândia,ACRE,AC,Sim
6459,,Bujari,ACRE,AC,Sim
6475,,Capixaba,ACRE,AC,Sim
6491,,Porto Acre,ACRE,AC,Sim
6513,,Epitaciolândia,ACRE,AC,Sim
6530,,Jordão,ACRE,AC,Sim
6556,,Marechal Thaumaturgo,ACRE,AC,Sim
6572,,Porto Walter,ACRE,AC,Sim
6599,,Rodrigues Alves,ACRE,AC,Sim
6610,,Santa Rosa,ACRE,AC,Sim
