Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
5606,,CAMPESTRE,ALAGOAS,AL,Sim
9717,,Teotônio Vilela,ALAGOAS,AL,Sim
26417,,Paripueira,ALAGOAS,AL,Sim
26433,,Estrela de Alagoas,ALAGOAS,AL,Sim
26450,,Pariconha,ALAGOAS,AL,Sim
27014,,Água Branca,ALAGOAS,AL,Sim
27030,,Anádia,ALAGOAS,AL,Sim
27057,,Arapiraca,ALAGOAS,AL,Sim
27073,,Atalaia,ALAGOAS,AL,Sim
27090,,Barra de Santo Antônio,ALAGOAS,AL,Sim
27111,,Barra de São Miguel,ALAGOAS,AL,Sim
27138,,Batalha,ALAGOAS,AL,Sim
27154,,Belém,ALAGOAS,AL,Sim
27170,,Belo Monte,ALAGOAS,AL,Sim
27197,,Boca da Mata,ALAGOAS,AL,Sim
27219,,Branquinha,ALAGOAS,AL,Sim
27235,,Cacimbinhas,ALAGOAS,AL,Sim
27251,,Cajueiro,ALAGOAS,AL,Sim
27278,,Campo Alegre,ALAGOAS,AL,Sim
27294,,Campo Grande,ALAGOAS,AL,Sim
27316,,Canapi,ALAGOAS,AL,Sim
27332,,Capela,ALAGOAS,AL,Sim
27359,,Carneiros,ALAGOAS,AL,Sim
27375,,Chá Preta,ALAGOAS,AL,Sim
27391,,Coité do Nóia,ALAGOAS,AL,Sim
27413,,Colônia Leopoldina,ALAGOAS,AL,Sim
27430,,Coqueiro Seco,ALAGOAS,AL,Sim
27456,,Coruripe,ALAGOAS,AL,Sim
27472,,Delmiro Gouveia,ALAGOAS,AL,Sim
27499,,Dois Riachos,ALAGOAS,AL,Sim
27510,,Feira Grande,ALAGOAS,AL,Sim
27537,,Feliz Deserto,ALAGOAS,AL,Sim
27553,,Flexeiras,ALAGOAS,AL,Sim
27570,,Girau do Ponciano,ALAGOAS,AL,Sim
27596,,Ibateguara,ALAGOAS,AL,Sim
27618,,Igaci,ALAGOAS,AL,Sim
27634,,Igreja Nova,ALAGOAS,AL,Sim
27650,,Inhapi,ALAGOAS,AL,Sim
27677,,Jacaré dos Homens,ALAGOAS,AL,Sim
27693,,Jacuipe,ALAGOAS,AL,Sim
27715,,Japaratinga,ALAGOAS,AL,Sim
27731,,Jaramataia,ALAGOAS,AL,Sim
27758,,Joaquim Gomes,ALAGOAS,AL,Sim
27774,,Jundiá,ALAGOAS,AL,Sim
27790,,Junqueiro,ALAGOAS,AL,Sim
27812,,Lagoa da Canoa,ALAGOAS,AL,Sim
27839,,Limoeiro de Anadia,ALAGOAS,AL,Sim
27855,,Maceió,ALAGOAS,AL,Sim
27871,,Major Isidoro,ALAGOAS,AL,Sim
27898,,Maragogi,ALAGOAS,AL,Sim
27910,,Maravilha,ALAGOAS,AL,Sim
27936,,Marechal Deodoro,ALAGOAS,AL,Sim
27952,,Maribondo,ALAGOAS,AL,Sim
27979,,Mar Vermelho,ALAGOAS,AL,Sim
27995,,Mata Grande,ALAGOAS,AL,Sim
28010,,Matriz de Camaragibe,ALAGOAS,AL,Sim
28037,,Messias,ALAGOAS,AL,Sim
28053,,Minador do Negrão,ALAGOAS,AL,Sim
28070,,Monteirópolis,ALAGOAS,AL,Sim
28096,,Murici,ALAGOAS,AL,Sim
28118,,Novo Lino,ALAGOAS,AL,Sim
28134,,Olho D´Água das Flores,ALAGOAS,AL,Sim
28150,,Olho D´Água do Casado,ALAGOAS,AL,Sim
28177,,Olho D´Água Grande,ALAGOAS,AL,Sim
28193,,Olivença,ALAGOAS,AL,Sim
28215,,Ouro Branco,ALAGOAS,AL,Sim
28231,,Palestina,ALAGOAS,AL,Sim
28258,,Palmeira dos Índios,ALAGOAS,AL,Sim
28274,,Pão de Açúcar,ALAGOAS,AL,Sim
28290,,Passo de Camaragibe,ALAGOAS,AL,Sim
28312,,Paulo Jacinto,ALAGOAS,AL,Sim
28339,,Penedo,ALAGOAS,AL,Sim
28355,,Piaçabuçu,ALAGOAS,AL,Sim
28371,,Pilar,ALAGOAS,AL,Sim
28398,,Pindoba,ALAGOAS,AL,Sim
28410,,Piranhas,ALAGOAS,AL,Sim
28436,,Poço das Trincheiras,ALAGOAS,AL,Sim
28452,,Porto Calvo,ALAGOAS,AL,Sim
28479,,Porto de Pedras,ALAGOAS,AL,Sim
28495,,Porto Real do Colégio,ALAGOAS,AL,Sim
28517,,Quebrângulo,ALAGOAS,AL,Sim
28533,,Rio Largo,ALAGOAS,AL,Sim
28550,,Roteiro,ALAGOAS,AL,Sim
28576,,Santa Luzia do Norte,ALAGOAS,AL,Sim
28592,,Santana do Ipanema,ALAGOAS,AL,Sim
28614,,Santana do Mundaú,ALAGOAS,AL,Sim
28630,,São Bras,ALAGOAS,AL,Sim
28657,,São José da Laje,ALAGOAS,AL,Sim
28673,,São José da Tapera,ALAGOAS,AL,Sim
28690,,São Luis do Quitunde,ALAGOAS,AL,Sim
28711,,São Miguel dos Campos,ALAGOAS,AL,Sim
28738,,São Miguel dos Milagres,ALAGOAS,AL,Sim
28754,,São Sebastião,ALAGOAS,AL,Sim
28770,,Satuba,ALAGOAS,AL,Sim
28797,,Tanque D´Arca,ALAGOAS,AL,Sim
28819,,Taquarana,ALAGOAS,AL,Sim
28835,,Traipu,ALAGOAS,AL,Sim
28851,,União dos Palmares,ALAGOAS,AL,Sim
28878,,Viçosa,ALAGOAS,AL,Sim
28894,,Craibas,ALAGOAS,AL,Sim
28916,,Senador Rui Palmeira,ALAGOAS,AL,Sim
