Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
2011,,Novo Airão,AMAZONAS,AM,Sim
2038,,Anori,AMAZONAS,AM,Sim
2054,,Atalaia do Norte,AMAZONAS,AM,Sim
2070,,Autazes,AMAZONAS,AM,Sim
2097,,Barcelos,AMAZONAS,AM,Sim
2119,,Barreirinha,AMAZONAS,AM,Sim
2135,,Benjamin Constant,AMAZONAS,AM,Sim
2151,,Boca do Acre,AMAZONAS,AM,Sim
2178,,Borba,AMAZONAS,AM,Sim
2194,,Canutama,AMAZONAS,AM,Sim
2216,,Carauari,AMAZONAS,AM,Sim
2232,,Careiro,AMAZONAS,AM,Sim
2259,,Coari,AMAZONAS,AM,Sim
2275,,Codajás,AMAZONAS,AM,Sim
2291,,Eirunepé,AMAZONAS,AM,Sim
2313,,Envira,AMAZONAS,AM,Sim
2330,,Fonte Boa,AMAZONAS,AM,Sim
2356,,Humaitá,AMAZONAS,AM,Sim
2372,,Santa Isabel do Rio Negro,AMAZONAS,AM,Sim
2399,,Ipixuna,AMAZONAS,AM,Sim
2410,,Itacoatiara,AMAZONAS,AM,Sim
2437,,Itapiranga,AMAZONAS,AM,Sim
2453,,Japurá,AMAZONAS,AM,Sim
2470,,Juruá,AMAZONAS,AM,Sim
2496,,Jutai,AMAZONAS,AM,Sim
2518,,Lábrea,AMAZONAS,AM,Sim
2534,,Manacapuru,AMAZONAS,AM,Sim
2550,,Manaus,AMAZONAS,AM,Sim
2577,,Manicoré,AMAZONAS,AM,Sim
2593,,Maraã,AMAZONAS,AM,Sim
2615,,Maués,AMAZONAS,AM,Sim
2631,,Nhamundá,AMAZONAS,AM,Sim
2658,,Nova Olinda do Norte,AMAZONAS,AM,Sim
2674,,Novo Aripuanã,AMAZONAS,AM,Sim
2690,,Parintins,AMAZONAS,AM,Sim
2712,,Pauini,AMAZONAS,AM,Sim
2739,,Santo Antônio do Içá,AMAZONAS,AM,Sim
2755,,São Paulo de Olivença,AMAZONAS,AM,Sim
2771,,Silves,AMAZONAS,AM,Sim
2798,,Tapauá,AMAZONAS,AM,Sim
2810,,Tefé,AMAZONAS,AM,Sim
2836,,São Gabriel da Cachoeira,AMAZONAS,AM,Sim
2852,,Urucará,AMAZONAS,AM,Sim
2879,,Urucurituba,AMAZONAS,AM,Sim
2895,,Alvarães,AMAZONAS,AM,Sim
2917,,Amatura,AMAZONAS,AM,Sim
2933,,Anama,AMAZONAS,AM,Sim
2950,,Beruri,AMAZONAS,AM,Sim
2976,,Boa Vista do Ramos,AMAZONAS,AM,Sim
2992,,Caapiranga,AMAZONAS,AM,Sim
9652,,Careiro da Várzea,AMAZONAS,AM,Sim
9679,,Guajará,AMAZONAS,AM,Sim
9695,,Apui,AMAZONAS,AM,Sim
98353,,Iranduba,AMAZONAS,AM,Sim
98370,,Itamarati,AMAZONAS,AM,Sim
98396,,Manaquiri,AMAZONAS,AM,Sim
98418,,Presidente Figueiredo,AMAZONAS,AM,Sim
98434,,Rio Preto da Eva,AMAZONAS,AM,Sim
98450,,São Sebastião do Uatuma,AMAZONAS,AM,Sim
98477,,Tabatinga,AMAZONAS,AM,Sim
98493,,Uarini,AMAZONAS,AM,Sim
98515,,Tonantins,AMAZONAS,AM,Sim
