Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
701,,VITORIA DO JARI,AMAPÁ,AP,Sim
6017,,Amapá,AMAPÁ,AP,Sim
6033,,Calcoene,AMAPÁ,AP,Sim
6050,,Macapá,AMAPÁ,AP,Sim
6076,,Mazagão,AMAPÁ,AP,Sim
6092,,Oiapoque,AMAPÁ,AP,Sim
6114,,Ferreira Gomes,AMAPÁ,AP,Sim
6130,,Laranjal do Jari,AMAPÁ,AP,Sim
6157,,Santana,AMAPÁ,AP,Sim
6173,,Tartarugalzinho,AMAPÁ,AP,Sim
6637,,AMAPARI,AMAPÁ,AP,Sim
6653,,Serra do Navio,AMAPÁ,AP,Sim
6670,,Cutias,AMAPÁ,AP,Sim
6696,,Itaubal,AMAPÁ,AP,Sim
6718,,Porto Grande,AMAPÁ,AP,Sim
6734,,Pracuúba,AMAPÁ,AP,Sim
