Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
9830,,Catunda,CEARÁ,CE,Sim
9857,,Jijoca de Jericoacoara,CEARÁ,CE,Sim
9873,,Fortim,CEARÁ,CE,Sim
9890,,Ararendá,CEARÁ,CE,Sim
9911,,Itaitinga,CEARÁ,CE,Sim
9938,,Choró,CEARÁ,CE,Sim
12319,,Acarape,CEARÁ,CE,Sim
12335,,Banabuiú,CEARÁ,CE,Sim
12351,,Barreira,CEARÁ,CE,Sim
12378,,Barroquinha,CEARÁ,CE,Sim
12394,,Chorózinho,CEARÁ,CE,Sim
12416,,Croatá,CEARÁ,CE,Sim
12432,,Deputado Irapuan Pinheiro,CEARÁ,CE,Sim
12459,,Ererê,CEARÁ,CE,Sim
12475,,Eusébio,CEARÁ,CE,Sim
12491,,Graça,CEARÁ,CE,Sim
12513,,Guaiuba,CEARÁ,CE,Sim
12530,,Horizonte,CEARÁ,CE,Sim
12556,,Ibaretama,CEARÁ,CE,Sim
12572,,Ibicuitinga,CEARÁ,CE,Sim
12599,,Ipaporanga,CEARÁ,CE,Sim
12610,,Madalena,CEARÁ,CE,Sim
12637,,Miraíma,CEARÁ,CE,Sim
12653,,Ocara,CEARÁ,CE,Sim
12670,,Pindoretama,CEARÁ,CE,Sim
12696,,Pires Ferreira,CEARÁ,CE,Sim
12718,,Potiretama,CEARÁ,CE,Sim
12734,,Salitre,CEARÁ,CE,Sim
12750,,Tarrafas,CEARÁ,CE,Sim
12777,,Tejuçuoca,CEARÁ,CE,Sim
12793,,Tururú,CEARÁ,CE,Sim
13013,,Abaiara,CEARÁ,CE,Sim
13030,,Acaraú,CEARÁ,CE,Sim
13056,,Acopiara,CEARÁ,CE,Sim
13072,,Aiuaba,CEARÁ,CE,Sim
13099,,Alcantaras,CEARÁ,CE,Sim
13110,,Altaneira,CEARÁ,CE,Sim
13137,,Alto Santo,CEARÁ,CE,Sim
13153,,Antonina do Norte,CEARÁ,CE,Sim
13170,,Apuiarés,CEARÁ,CE,Sim
13196,,Aquiraz,CEARÁ,CE,Sim
13218,,Aracati,CEARÁ,CE,Sim
13234,,Aracoiaba,CEARÁ,CE,Sim
13250,,Araripe,CEARÁ,CE,Sim
13277,,Aratuba,CEARÁ,CE,Sim
13293,,Arneiroz,CEARÁ,CE,Sim
13315,,Assaré,CEARÁ,CE,Sim
13331,,Aurora,CEARÁ,CE,Sim
13358,,Baixio,CEARÁ,CE,Sim
13374,,Barbalha,CEARÁ,CE,Sim
13390,,Barro,CEARÁ,CE,Sim
13412,,Baturité,CEARÁ,CE,Sim
13439,,Beberibe,CEARÁ,CE,Sim
13455,,Bela Cruz,CEARÁ,CE,Sim
13471,,Boa Viagem,CEARÁ,CE,Sim
13498,,Brejo Santo,CEARÁ,CE,Sim
13510,,Camocim,CEARÁ,CE,Sim
13536,,Campos Sales,CEARÁ,CE,Sim
13552,,Canindé,CEARÁ,CE,Sim
13579,,Capistrano,CEARÁ,CE,Sim
13595,,Caridade,CEARÁ,CE,Sim
13617,,Cariré,CEARÁ,CE,Sim
13633,,Caririaçu,CEARÁ,CE,Sim
13650,,Cariús,CEARÁ,CE,Sim
13676,,Carnaubal,CEARÁ,CE,Sim
13692,,Cascavél,CEARÁ,CE,Sim
13714,,Catarina,CEARÁ,CE,Sim
13730,,Caucaia,CEARÁ,CE,Sim
13757,,Cedro,CEARÁ,CE,Sim
13773,,Chaval,CEARÁ,CE,Sim
13811,,Coreau,CEARÁ,CE,Sim
13838,,Crateús,CEARÁ,CE,Sim
13854,,Crato,CEARÁ,CE,Sim
13870,,Farias Brito,CEARÁ,CE,Sim
13897,,Fortaleza,CEARÁ,CE,Sim
13919,,Frecheirinha,CEARÁ,CE,Sim
13935,,General Sampaio,CEARÁ,CE,Sim
13951,,Granja,CEARÁ,CE,Sim
13978,,Granjeiro,CEARÁ,CE,Sim
13994,,Groairas,CEARÁ,CE,Sim
14010,,Guaraciaba do Norte,CEARÁ,CE,Sim
14036,,Guaramiranga,CEARÁ,CE,Sim
14052,,Hidrolândia,CEARÁ,CE,Sim
14079,,Ibiapina,CEARÁ,CE,Sim
14095,,Icó,CEARÁ,CE,Sim
14117,,Iguatu,CEARÁ,CE,Sim
14133,,Independência,CEARÁ,CE,Sim
14150,,Ipaumirim,CEARÁ,CE,Sim
14176,,Ipu,CEARÁ,CE,Sim
14192,,Ipueiras,CEARÁ,CE,Sim
14214,,Iracema,CEARÁ,CE,Sim
14230,,Irauçuba,CEARÁ,CE,Sim
14257,,Itaicaba,CEARÁ,CE,Sim
14273,,Itapagé,CEARÁ,CE,Sim
14290,,Itapipoca,CEARÁ,CE,Sim
14311,,Itapiuna,CEARÁ,CE,Sim
14338,,Itatira,CEARÁ,CE,Sim
14354,,Jaguaretama,CEARÁ,CE,Sim
14370,,Jaguaribara,CEARÁ,CE,Sim
