Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
760,,MARATAIZES,ESPÍRITO SANTO,ES,Sim
7587,,BREJETURA,ESPÍRITO SANTO,ES,Sim
7625,,PONTO BELO,ESPÍRITO SANTO,ES,Sim
7641,,SAO ROQUE DO CANAA,ESPÍRITO SANTO,ES,Sim
7668,,Sooretama,ESPÍRITO SANTO,ES,Sim
7684,,VILA VALERIO,ESPÍRITO SANTO,ES,Sim
11142,,GOVERNADOR LINDENBERG,ESPÍRITO SANTO,ES,Sim
29297,,Marechal Floriano,ESPÍRITO SANTO,ES,Sim
29319,,Irupi,ESPÍRITO SANTO,ES,Sim
29335,,São Domingos do Norte,ESPÍRITO SANTO,ES,Sim
29351,,Vila Pavão,ESPÍRITO SANTO,ES,Sim
56014,,Afonso Cláudio,ESPÍRITO SANTO,ES,Sim
56030,,Alegre,ESPÍRITO SANTO,ES,Sim
56057,,Alfredo Chaves,ESPÍRITO SANTO,ES,Sim
56073,,Anchieta,ESPÍRITO SANTO,ES,Sim
56090,,Apiaca,ESPÍRITO SANTO,ES,Sim
56111,,Aracruz,ESPÍRITO SANTO,ES,Sim
56138,,Atílio Vivácqua,ESPÍRITO SANTO,ES,Sim
56154,,Baixo Guandu,ESPÍRITO SANTO,ES,Sim
56170,,Barra de São Francisco,ESPÍRITO SANTO,ES,Sim
56197,,Boa Esperança,ESPÍRITO SANTO,ES,Sim
56219,,Bom Jesus do Norte,ESPÍRITO SANTO,ES,Sim
56235,,Cachoeiro de Itapemirim,ESPÍRITO SANTO,ES,Sim
56251,,Cariacica,ESPÍRITO SANTO,ES,Sim
56278,,Castelo,ESPÍRITO SANTO,ES,Sim
56294,,Colatina,ESPÍRITO SANTO,ES,Sim
56316,,Conceição da Barra,ESPÍRITO SANTO,ES,Sim
56332,,Conceição do Castelo,ESPÍRITO SANTO,ES,Sim
56359,,Divino de São Lourenço,ESPÍRITO SANTO,ES,Sim
56375,,Domingos Martins,ESPÍRITO SANTO,ES,Sim
56391,,Dores do Rio Preto,ESPÍRITO SANTO,ES,Sim
56413,,Ecoporanga,ESPÍRITO SANTO,ES,Sim
56430,,Fundão,ESPÍRITO SANTO,ES,Sim
56456,,Guaçui,ESPÍRITO SANTO,ES,Sim
56472,,Guarapari,ESPÍRITO SANTO,ES,Sim
56499,,Ibiraçú,ESPÍRITO SANTO,ES,Sim
56510,,Iconha,ESPÍRITO SANTO,ES,Sim
56537,,Itaguaçú,ESPÍRITO SANTO,ES,Sim
56553,,Itapemirim,ESPÍRITO SANTO,ES,Sim
56570,,Itarana,ESPÍRITO SANTO,ES,Sim
56596,,Iuna,ESPÍRITO SANTO,ES,Sim
56618,,Jerônimo Monteiro,ESPÍRITO SANTO,ES,Sim
56634,,Linhares,ESPÍRITO SANTO,ES,Sim
56650,,Mantenópolis,ESPÍRITO SANTO,ES,Sim
56677,,Mimoso do Sul,ESPÍRITO SANTO,ES,Sim
56693,,Montanha,ESPÍRITO SANTO,ES,Sim
56715,,Mucurici,ESPÍRITO SANTO,ES,Sim
56731,,Muniz Freire,ESPÍRITO SANTO,ES,Sim
56758,,Muqui,ESPÍRITO SANTO,ES,Sim
56774,,Nova Venécia,ESPÍRITO SANTO,ES,Sim
56790,,Pancas,ESPÍRITO SANTO,ES,Sim
56812,,Pinheiros,ESPÍRITO SANTO,ES,Sim
56839,,Piúma,ESPÍRITO SANTO,ES,Sim
56855,,Presidente Kennedy,ESPÍRITO SANTO,ES,Sim
56871,,Rio Novo do Sul,ESPÍRITO SANTO,ES,Sim
56898,,Santa Leopoldina,ESPÍRITO SANTO,ES,Sim
56910,,Santa Teresa,ESPÍRITO SANTO,ES,Sim
56936,,São Gabriel da Palha,ESPÍRITO SANTO,ES,Sim
56952,,São José do Calçado,ESPÍRITO SANTO,ES,Sim
56979,,São Mateus,ESPÍRITO SANTO,ES,Sim
56995,,Serra,ESPÍRITO SANTO,ES,Sim
57010,,Viana,ESPÍRITO SANTO,ES,Sim
57037,,Vila Velha,ESPÍRITO SANTO,ES,Sim
57053,,Vitória,ESPÍRITO SANTO,ES,Sim
57070,,Marilândia,ESPÍRITO SANTO,ES,Sim
57096,,Ibatiba,ESPÍRITO SANTO,ES,Sim
57118,,Rio Bananal,ESPÍRITO SANTO,ES,Sim
57134,,Jaguaré,ESPÍRITO SANTO,ES,Sim
57150,,Pedro Canário,ESPÍRITO SANTO,ES,Sim
57177,,Água Doce do Norte,ESPÍRITO SANTO,ES,Sim
57193,,Alto Rio Novo,ESPÍRITO SANTO,ES,Sim
57215,,João Neiva,ESPÍRITO SANTO,ES,Sim
57231,,Laranja da Terra,ESPÍRITO SANTO,ES,Sim
57258,,Santa Maria de Jetibá,ESPÍRITO SANTO,ES,Sim
57274,,Vargem Alta,ESPÍRITO SANTO,ES,Sim
57290,,Venda Nova do Imigrante,ESPÍRITO SANTO,ES,Sim
57339,,Águia Branca,ESPÍRITO SANTO,ES,Sim
60119,,Ibitirama,ESPÍRITO SANTO,ES,Sim
