Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
310,,Caldazinha,GOIÁS,GO,Sim
493,,Jesúpolis,GOIÁS,GO,Sim
515,,Professor Jamil,GOIÁS,GO,Sim
531,,Santo Antônio de Goiás,GOIÁS,GO,Sim
558,,Cocalzinho de Goiás,GOIÁS,GO,Sim
574,,Terezópolis de Goiás,GOIÁS,GO,Sim
590,,Uirapuru,GOIÁS,GO,Sim
612,,Buritinópolis,GOIÁS,GO,Sim
639,,Buriti de Goiás,GOIÁS,GO,Sim
655,,Guaraita,GOIÁS,GO,Sim
671,,Vila Boa,GOIÁS,GO,Sim
698,,Inaciolândia,GOIÁS,GO,Sim
710,,Aparecida do Rio Doce,GOIÁS,GO,Sim
736,,Chapadão do Céu,GOIÁS,GO,Sim
752,,Perolândia,GOIÁS,GO,Sim
779,,Cidade Ocidental,GOIÁS,GO,Sim
795,,Montividiu do Norte,GOIÁS,GO,Sim
817,,Castelândia,GOIÁS,GO,Sim
833,,Santo Antônio da Barra,GOIÁS,GO,Sim
850,,Alto Horizonte,GOIÁS,GO,Sim
876,,Nova Iguaçú de Goiás,GOIÁS,GO,Sim
10502,,Abadia de Goiás,GOIÁS,GO,Sim
10529,,Águas Lindas de Goiás,GOIÁS,GO,Sim
10545,,AMRALINA,GOIÁS,GO,Sim
10588,,NOVO GAMA,GOIÁS,GO,Sim
10600,,Porteirão,GOIÁS,GO,Sim
10642,,SÃO PATRÍCIO,GOIÁS,GO,Sim
10669,,Valparaiso de Goiás,GOIÁS,GO,Sim
10685,,Vila Propício,GOIÁS,GO,Sim
10740,,IPIRANGA DE GOIAS,GOIÁS,GO,Sim
10766,,Lagoa Santa,GOIÁS,GO,Sim
92010,,Abadiânia,GOIÁS,GO,Sim
92037,,Água Limpa,GOIÁS,GO,Sim
92053,,Alexânia,GOIÁS,GO,Sim
92096,,Aloândia,GOIÁS,GO,Sim
92118,,Alto Paraíso de Goiás,GOIÁS,GO,Sim
92150,,Alvorada do Norte,GOIÁS,GO,Sim
92177,,Amorinópolis,GOIÁS,GO,Sim
92215,,Anápolis,GOIÁS,GO,Sim
92231,,Anhanguera,GOIÁS,GO,Sim
92258,,Anicuns,GOIÁS,GO,Sim
92274,,Aparecida de Goiânia,GOIÁS,GO,Sim
92290,,Aporé,GOIÁS,GO,Sim
92312,,Araçú,GOIÁS,GO,Sim
92339,,Aragarças,GOIÁS,GO,Sim
92355,,Aragoiânia,GOIÁS,GO,Sim
92495,,Aruanã,GOIÁS,GO,Sim
92517,,Aurilândia,GOIÁS,GO,Sim
92550,,Avelinópolis,GOIÁS,GO,Sim
92614,,Baliza,GOIÁS,GO,Sim
92630,,Barro Alto,GOIÁS,GO,Sim
92657,,Bela Vista de Goiás,GOIÁS,GO,Sim
