Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
1040,,AGUA DOCE DO MARANHAO,MARANHÃO,MA,Sim
1066,,ALTO ALEGRE DO MARANHAO,MARANHÃO,MA,Sim
1082,,ALTO ALEGRE DO PINDARE,MARANHÃO,MA,Sim
1120,,APICUM-AÇU,MARANHÃO,MA,Sim
1147,,Araguanã,MARANHÃO,MA,Sim
1163,,BACABEIRA,MARANHÃO,MA,Sim
1180,,BACURITUBA,MARANHÃO,MA,Sim
1260,,BOA VISTA DO GURUPI,MARANHÃO,MA,Sim
1287,,BOM JESUS DAS SELVAS,MARANHÃO,MA,Sim
1341,,BURITICUPU,MARANHÃO,MA,Sim
1368,,BURITIRANA,MARANHÃO,MA,Sim
1449,,CENTRAL DO MARANHÃO,MARANHÃO,MA,Sim
1520,,CONCEICAO DO LAGO-ACU,MARANHÃO,MA,Sim
1600,,Formosa da Serra Negra,MARANHÃO,MA,Sim
1660,,GOVERNADOR NEWTON BELLO,MARANHÃO,MA,Sim
1686,,Governador Nunes Freire,MARANHÃO,MA,Sim
1708,,IGARAPE DO MEIO,MARANHÃO,MA,Sim
1740,,ITINGA DO MARANHAO,MARANHÃO,MA,Sim
1821,,LAGOA DO MATO,MARANHÃO,MA,Sim
1902,,MARACAÇUMÉ,MARANHÃO,MA,Sim
1945,,MARANHAZINHO,MARANHÃO,MA,Sim
2062,,PAULINO NEVES,MARANHÃO,MA,Sim
2089,,Pedro do Rosário,MARANHÃO,MA,Sim
2100,,PERITORO,MARANHÃO,MA,Sim
2127,,PORTO RICO DO MARANHÃO/MARANHÃO E PINHEI,MARANHÃO,MA,Sim
2186,,RAPOSA,MARANHÃO,MA,Sim
2240,,Santana do Maranhão,MARANHÃO,MA,Sim
2267,,SANTO AMARO DO MARANHÃO,MARANHÃO,MA,Sim
2283,,SAO DOMINGOS DO AZEITAO,MARANHÃO,MA,Sim
2305,,SÃO FRANCISCO DO BREJÃO,MARANHÃO,MA,Sim
2348,,SAO JOAO DO PARAISO,MARANHÃO,MA,Sim
2488,,SATUBINHA,MARANHÃO,MA,Sim
2526,,SENADOR LA ROCQUE,MARANHÃO,MA,Sim
2542,,SERRANO DO MARANHÃO,MARANHÃO,MA,Sim
2585,,TRIZIDELA DO VALE,MARANHÃO,MA,Sim
2640,,VILA NOVA DOS MARTÍRIOS,MARANHÃO,MA,Sim
7013,,Afonso Cunha,MARANHÃO,MA,Sim
7030,,Alcântara,MARANHÃO,MA,Sim
7056,,Aldeias Altas,MARANHÃO,MA,Sim
7072,,Altamira do Maranhão,MARANHÃO,MA,Sim
7099,,Alto Parnaíba,MARANHÃO,MA,Sim
7110,,Amarante do Maranhão,MARANHÃO,MA,Sim
7137,,Anajatuba,MARANHÃO,MA,Sim
7153,,Anapurús,MARANHÃO,MA,Sim
7170,,Araioses,MARANHÃO,MA,Sim
7196,,Arari,MARANHÃO,MA,Sim
7218,,Axixá,MARANHÃO,MA,Sim
7234,,Bacabal,MARANHÃO,MA,Sim
7250,,Bacuri,MARANHÃO,MA,Sim
7277,,Balsas,MARANHÃO,MA,Sim
7293,,Barão de Grajaú,MARANHÃO,MA,Sim
7315,,Barra do Corda,MARANHÃO,MA,Sim
7331,,Barreirinhas,MARANHÃO,MA,Sim
7358,,Benedito Leite,MARANHÃO,MA,Sim
7374,,Bequimão,MARANHÃO,MA,Sim
7390,,Brejo,MARANHÃO,MA,Sim
7412,,Buriti,MARANHÃO,MA,Sim
7439,,Buriti Bravo,MARANHÃO,MA,Sim
7455,,Cajapió,MARANHÃO,MA,Sim
7471,,Cajari,MARANHÃO,MA,Sim
7498,,Cândido Mendes,MARANHÃO,MA,Sim
7510,,Cantanhede,MARANHÃO,MA,Sim
