Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
744,,uruana de minas,MINAS GERAIS,MG,Não
5649,,ALTO CAPARAO,MINAS GERAIS,MG,Sim
5681,,ARICANDUVA,MINAS GERAIS,MG,Sim
5703,,BERIZAL,MINAS GERAIS,MG,Sim
5720,,BONITO DE MINAS,MINAS GERAIS,MG,Sim
5762,,Bugre,MINAS GERAIS,MG,Sim
5789,,CABECEIRA GRANDE,MINAS GERAIS,MG,Sim
5800,,CAMPO AZUL,MINAS GERAIS,MG,Sim
5827,,CANTAGALO,MINAS GERAIS,MG,Sim
5860,,CATUTI,MINAS GERAIS,MG,Sim
5886,,Chapada Gaúcha,MINAS GERAIS,MG,Sim
5908,,CONEGO MARINHO DE MINAS,MINAS GERAIS,MG,Sim
5924,,Confins,MINAS GERAIS,MG,Sim
5940,,Corrego Fundo,MINAS GERAIS,MG,Sim
5967,,CRISOLITA,MINAS GERAIS,MG,Sim
6009,,CURRAL DE DENTRO,MINAS GERAIS,MG,Sim
6041,,Divisa Alegre,MINAS GERAIS,MG,Sim
6084,,FRANCISCOPOLIS,MINAS GERAIS,MG,Sim
6122,,Fruta de Leite,MINAS GERAIS,MG,Sim
6149,,GAMELEIRAS,MINAS GERAIS,MG,Sim
6165,,Glaucilândia,MINAS GERAIS,MG,Sim
6203,,GOIANA,MINAS GERAIS,MG,Sim
6300,,JAPONVAR,MINAS GERAIS,MG,Sim
6327,,JENIPAPO DE MINAS,MINAS GERAIS,MG,Sim
6343,,JOSÉ GONÇALVES DE MINAS,MINAS GERAIS,MG,Sim
6408,,JUVENILIA,MINAS GERAIS,MG,Sim
6424,,LEME DO PRADO,MINAS GERAIS,MG,Sim
6467,,LUISLANDIA,MINAS GERAIS,MG,Sim
6483,,Mário Campos,MINAS GERAIS,MG,Sim
6505,,MARTINS SOARES,MINAS GERAIS,MG,Sim
6564,,NAQUE,MINAS GERAIS,MG,Sim
6602,,NINHEIRA,MINAS GERAIS,MG,Sim
6688,,NOVORIZONTE,MINAS GERAIS,MG,Sim
6742,,ORIZANIA,MINAS GERAIS,MG,Sim
6769,,PADRE CARVALHO,MINAS GERAIS,MG,Sim
6785,,PAI PEDRO,MINAS GERAIS,MG,Sim
6840,,PERIQUITO,MINAS GERAIS,MG,Sim
6882,,PINGO D´AGUA,MINAS GERAIS,MG,Sim
6904,,PINTOPOLIS,MINAS GERAIS,MG,Sim
6920,,PONTO CHIQUE,MINAS GERAIS,MG,Sim
6947,,PONTO DOS VOLANTES,MINAS GERAIS,MG,Sim
7048,,SANTA CRUZ DE SALINAS,MINAS GERAIS,MG,Sim
7064,,SANTA HELENA DE MINAS,MINAS GERAIS,MG,Sim
7145,,SAO GERALDO DE BAIXIO,MINAS GERAIS,MG,Sim
7188,,SÃO JOÃO DAS MISSÕES,MINAS GERAIS,MG,Sim
7200,,SAO JOAO DO PACUI,MINAS GERAIS,MG,Sim
7226,,São Joaquim de Bicas,MINAS GERAIS,MG,Sim
7242,,SAO JOSE DA BARRA,MINAS GERAIS,MG,Sim
7307,,Sarzedo,MINAS GERAIS,MG,Sim
7323,,SETUBINHA,MINAS GERAIS,MG,Sim
7404,,TOCOS DO MOJI,MINAS GERAIS,MG,Sim
7447,,Uruana de Minas,MINAS GERAIS,MG,Sim
7463,,Vargem Alegre,MINAS GERAIS,MG,Sim
7480,,VARGEM GRANDE DO RIO PARDO,MINAS GERAIS,MG,Sim
7501,,Varjão de Minas,MINAS GERAIS,MG,Sim
7528,,VERDELÂNDIA,MINAS GERAIS,MG,Sim
7544,,VEREDINHA,MINAS GERAIS,MG,Sim
7560,,Vermelho Novo,MINAS GERAIS,MG,Sim
26492,,São José da Lapa,MINAS GERAIS,MG,Sim
26514,,Capitão Andrade,MINAS GERAIS,MG,Sim
26530,,Catuji,MINAS GERAIS,MG,Sim
26557,,Jampruca,MINAS GERAIS,MG,Sim
26573,,Divisópolis,MINAS GERAIS,MG,Sim
26590,,Mata Verde,MINAS GERAIS,MG,Sim
26611,,Palmópolis,MINAS GERAIS,MG,Sim
26638,,Entre Folhas,MINAS GERAIS,MG,Sim
26654,,Ipaba,MINAS GERAIS,MG,Sim
26670,,Santa Bárbara do Leste,MINAS GERAIS,MG,Sim
26697,,Santa Rita de Minas,MINAS GERAIS,MG,Sim
26719,,Ubaporanga,MINAS GERAIS,MG,Sim
26735,,Santana do Paraíso,MINAS GERAIS,MG,Sim
26751,,Durandé,MINAS GERAIS,MG,Sim
26778,,São João do Manhuaçú,MINAS GERAIS,MG,Sim
26794,,São João do Manteninha,MINAS GERAIS,MG,Sim
26816,,Alfredo Vasconcelos,MINAS GERAIS,MG,Sim
26832,,Fervedouro,MINAS GERAIS,MG,Sim
26859,,Carneirinho,MINAS GERAIS,MG,Sim
26875,,Limeira do Oeste,MINAS GERAIS,MG,Sim
26891,,Senador Amaral,MINAS GERAIS,MG,Sim
26913,,Juatuba,MINAS GERAIS,MG,Sim
26930,,Icaraí de Minas,MINAS GERAIS,MG,Sim
26956,,Lontra,MINAS GERAIS,MG,Sim
26972,,Montezuma,MINAS GERAIS,MG,Sim
26999,,Urucuia,MINAS GERAIS,MG,Sim
28932,,Jaiba,MINAS GERAIS,MG,Sim
28959,,Mamonas,MINAS GERAIS,MG,Sim
28975,,Matias Cardoso,MINAS GERAIS,MG,Sim
28991,,Pedras de Maria da Cruz,MINAS GERAIS,MG,Sim
29017,,Riachinho,MINAS GERAIS,MG,Sim
29033,,Araporá,MINAS GERAIS,MG,Sim
29050,,Lagoa Grande,MINAS GERAIS,MG,Sim
40010,,Abadia dos Dourados,MINAS GERAIS,MG,Sim
40037,,Abaeté,MINAS GERAIS,MG,Sim
40053,,Abre Campo,MINAS GERAIS,MG,Sim
40070,,Acaiaca,MINAS GERAIS,MG,Sim
40096,,Açucena,MINAS GERAIS,MG,Sim
40118,,Água Boa,MINAS GERAIS,MG,Sim
40134,,Água Comprida,MINAS GERAIS,MG,Sim
40150,,Aguanil,MINAS GERAIS,MG,Sim
40177,,Águas Formosas,MINAS GERAIS,MG,Sim
40193,,Águas Vermelhas,MINAS GERAIS,MG,Sim
40215,,Aimorés,MINAS GERAIS,MG,Sim
40231,,Aiuruoca,MINAS GERAIS,MG,Sim
40258,,Alagoa,MINAS GERAIS,MG,Sim
40274,,Albertina,MINAS GERAIS,MG,Sim
40290,,Além Paraíba,MINAS GERAIS,MG,Sim
40312,,Alfenas,MINAS GERAIS,MG,Sim
40339,,Almenara,MINAS GERAIS,MG,Sim
40355,,Alpercata,MINAS GERAIS,MG,Sim
40371,,Alpinópolis,MINAS GERAIS,MG,Sim
40398,,Alterosa,MINAS GERAIS,MG,Sim
40410,,Alto Rio Doce,MINAS GERAIS,MG,Sim
40436,,Alvarenga,MINAS GERAIS,MG,Sim
40452,,Alvinópolis,MINAS GERAIS,MG,Sim
40479,,Alvorada de Minas,MINAS GERAIS,MG,Sim
40495,,Amparo da Serra,MINAS GERAIS,MG,Sim
40517,,Andradas,MINAS GERAIS,MG,Sim
40533,,Cachoeira de Pajeú,MINAS GERAIS,MG,Sim
40550,,Andrelândia,MINAS GERAIS,MG,Sim
40576,,Antônio Carlos,MINAS GERAIS,MG,Sim
40592,,Antônio Dias,MINAS GERAIS,MG,Sim
40614,,Antônio Prado de Minas,MINAS GERAIS,MG,Sim
40630,,Araçaí,MINAS GERAIS,MG,Sim
40657,,Aracitaba,MINAS GERAIS,MG,Sim
40673,,Araçuai,MINAS GERAIS,MG,Sim
40690,,Araguari,MINAS GERAIS,MG,Sim
40711,,Arantina,MINAS GERAIS,MG,Sim
40738,,Araponga,MINAS GERAIS,MG,Sim
40754,,Arapuã,MINAS GERAIS,MG,Sim
40770,,Araújos,MINAS GERAIS,MG,Sim
40797,,Araxá,MINAS GERAIS,MG,Sim
40819,,Arceburgo,MINAS GERAIS,MG,Sim
40835,,Arcos,MINAS GERAIS,MG,Sim
40851,,Areado,MINAS GERAIS,MG,Sim
