Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
1414,,Alcinópolis,MATO GROSSO DO SUL,MS,Sim
1430,,Nova Alvorada do Sul,MATO GROSSO DO SUL,MS,Sim
1597,,Novo Horizonte do Sul,MATO GROSSO DO SUL,MS,Sim
1619,,Japorã,MATO GROSSO DO SUL,MS,Sim
1635,,Laguna Carapã,MATO GROSSO DO SUL,MS,Sim
11789,,FIGUEIRAO,MATO GROSSO DO SUL,MS,Sim
11967,,PARAISO DAS AGUAS,MATO GROSSO DO SUL,MS,Sim
90034,,Água Clara,MATO GROSSO DO SUL,MS,Sim
90115,,Amambai,MATO GROSSO DO SUL,MS,Sim
90131,,Anastácio,MATO GROSSO DO SUL,MS,Sim
90158,,Anaurilândia,MATO GROSSO DO SUL,MS,Sim
90174,,Antônio João,MATO GROSSO DO SUL,MS,Sim
90190,,Aparecida do Taboado,MATO GROSSO DO SUL,MS,Sim
90212,,Aquidauana,MATO GROSSO DO SUL,MS,Sim
90298,,Bandeirantes,MATO GROSSO DO SUL,MS,Sim
90379,,Bataguassu,MATO GROSSO DO SUL,MS,Sim
90395,,Batayporã,MATO GROSSO DO SUL,MS,Sim
90417,,Bela Vista,MATO GROSSO DO SUL,MS,Sim
90433,,Bonito,MATO GROSSO DO SUL,MS,Sim
90450,,Brasilândia,MATO GROSSO DO SUL,MS,Sim
90492,,Camapuã,MATO GROSSO DO SUL,MS,Sim
90514,,Campo Grande,MATO GROSSO DO SUL,MS,Sim
90530,,Caracol,MATO GROSSO DO SUL,MS,Sim
90557,,Caarapó,MATO GROSSO DO SUL,MS,Sim
90573,,Cassilândia,MATO GROSSO DO SUL,MS,Sim
90611,,Corguinho,MATO GROSSO DO SUL,MS,Sim
90638,,Corumbá,MATO GROSSO DO SUL,MS,Sim
90654,,Coxim,MATO GROSSO DO SUL,MS,Sim
90735,,Dourados,MATO GROSSO DO SUL,MS,Sim
90751,,Fátima do Sul,MATO GROSSO DO SUL,MS,Sim
90794,,Glória de Dourados,MATO GROSSO DO SUL,MS,Sim
90816,,Guia Lopes da Laguna,MATO GROSSO DO SUL,MS,Sim
90859,,Iguatemi,MATO GROSSO DO SUL,MS,Sim
90875,,Inocência,MATO GROSSO DO SUL,MS,Sim
90891,,Itaporá,MATO GROSSO DO SUL,MS,Sim
90930,,Ivinhema,MATO GROSSO DO SUL,MS,Sim
90972,,Jaraguari,MATO GROSSO DO SUL,MS,Sim
90999,,Jardim,MATO GROSSO DO SUL,MS,Sim
91014,,Jatei,MATO GROSSO DO SUL,MS,Sim
91030,,Ladário,MATO GROSSO DO SUL,MS,Sim
91073,,Maracaju,MATO GROSSO DO SUL,MS,Sim
91111,,Miranda,MATO GROSSO DO SUL,MS,Sim
91138,,Navirai,MATO GROSSO DO SUL,MS,Sim
91154,,Nioaque,MATO GROSSO DO SUL,MS,Sim
91235,,Nova Andradina,MATO GROSSO DO SUL,MS,Sim
91251,,Paranaiba,MATO GROSSO DO SUL,MS,Sim
91278,,Pedro Gomes,MATO GROSSO DO SUL,MS,Sim
91316,,Ponta Porã,MATO GROSSO DO SUL,MS,Sim
91375,,Porto Murtinho,MATO GROSSO DO SUL,MS,Sim
91413,,Ribas do Rio Pardo,MATO GROSSO DO SUL,MS,Sim
91430,,Rio Brilhante,MATO GROSSO DO SUL,MS,Sim
91456,,Rio Negro,MATO GROSSO DO SUL,MS,Sim
91472,,Rio Verde de Mato Grosso,MATO GROSSO DO SUL,MS,Sim
91499,,Rochedo,MATO GROSSO DO SUL,MS,Sim
91570,,Sidrolândia,MATO GROSSO DO SUL,MS,Sim
91596,,Terenos,MATO GROSSO DO SUL,MS,Sim
91650,,Três Lagoas,MATO GROSSO DO SUL,MS,Sim
91693,,Angélica,MATO GROSSO DO SUL,MS,Sim
91715,,Aral Moreira,MATO GROSSO DO SUL,MS,Sim
91731,,Eldorado,MATO GROSSO DO SUL,MS,Sim
91758,,Deodápolis,MATO GROSSO DO SUL,MS,Sim
91790,,Mundo Novo,MATO GROSSO DO SUL,MS,Sim
91871,,Vicentina,MATO GROSSO DO SUL,MS,Sim
97390,,Paranhos,MATO GROSSO DO SUL,MS,Sim
97454,,Santa Rita do Pardo,MATO GROSSO DO SUL,MS,Sim
97578,,Sonora,MATO GROSSO DO SUL,MS,Sim
97870,,Chapadão do Sul,MATO GROSSO DO SUL,MS,Sim
97934,,Dois Irmãos do Buriti,MATO GROSSO DO SUL,MS,Sim
98019,,Bondoquena,MATO GROSSO DO SUL,MS,Sim
98035,,Costa Rica,MATO GROSSO DO SUL,MS,Sim
98051,,Douradina,MATO GROSSO DO SUL,MS,Sim
98078,,Itaquirai,MATO GROSSO DO SUL,MS,Sim
98094,,São Gabriel do Oeste,MATO GROSSO DO SUL,MS,Sim
98116,,Selvíria,MATO GROSSO DO SUL,MS,Sim
98132,,Sete Quedas,MATO GROSSO DO SUL,MS,Sim
98159,,Tacuru,MATO GROSSO DO SUL,MS,Sim
98175,,Taquarussu,MATO GROSSO DO SUL,MS,Sim
99236,,Juti,MATO GROSSO DO SUL,MS,Sim
99970,,Coronel Sapucaia,MATO GROSSO DO SUL,MS,Sim
