Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
892,,Cotriguacu,MATO GROSSO,MT,Sim
914,,Planalto da Serra,MATO GROSSO,MT,Sim
930,,São Pedro da Cipa,MATO GROSSO,MT,Sim
957,,Pontal do Araguaia,MATO GROSSO,MT,Sim
973,,Querência,MATO GROSSO,MT,Sim
990,,Ribeirãozinho,MATO GROSSO,MT,Sim
1015,,Porto Estrela,MATO GROSSO,MT,Sim
1031,,Nova Marilândia,MATO GROSSO,MT,Sim
1112,,Nova Maringá,MATO GROSSO,MT,Sim
1155,,Santo Afonso,MATO GROSSO,MT,Sim
1171,,Nova Bandeirantes,MATO GROSSO,MT,Sim
1198,,Nova Monte Verde,MATO GROSSO,MT,Sim
1210,,Nova Guaritá,MATO GROSSO,MT,Sim
1236,,Santa Carmen,MATO GROSSO,MT,Sim
1252,,Tabapora,MATO GROSSO,MT,Sim
1279,,Alto Boa Vista,MATO GROSSO,MT,Sim
1295,,Canabrava do Norte,MATO GROSSO,MT,Sim
1317,,Confresa,MATO GROSSO,MT,Sim
1333,,São José do Xingu,MATO GROSSO,MT,Sim
1350,,Glória D´Oeste,MATO GROSSO,MT,Sim
1376,,Lambári D´Oeste,MATO GROSSO,MT,Sim
10324,,CAMPOS DE JULHO,MATO GROSSO,MT,Sim
10340,,CARLINDA,MATO GROSSO,MT,Sim
10367,,FELIZ NATAL,MATO GROSSO,MT,Sim
10405,,NOVA LACERDA,MATO GROSSO,MT,Sim
10421,,NOVA UBIRATÃ,MATO GROSSO,MT,Sim
10448,,NOVO MUNDO,MATO GROSSO,MT,Sim
10464,,Sapezal,MATO GROSSO,MT,Sim
10480,,UNIAO DO SUL,MATO GROSSO,MT,Sim
10782,,BOM JESUS DO ARAGUAIA,MATO GROSSO,MT,Sim
10804,,COLNIZA,MATO GROSSO,MT,Sim
10820,,CONQUISTA D´OESTE,MATO GROSSO,MT,Sim
10847,,CURVELÂNDIA,MATO GROSSO,MT,Sim
10880,,NOVA SANTA HELENA,MATO GROSSO,MT,Sim
10901,,NOVO SANTO ANTONIO,MATO GROSSO,MT,Sim
10928,,RONDOLANDIA,MATO GROSSO,MT,Sim
10944,,SANTA CRUZ DO XINGU,MATO GROSSO,MT,Sim
10960,,SANTA RITA DO TRIVELATO,MATO GROSSO,MT,Sim
11029,,VALE DE SÃO DOMINGOS,MATO GROSSO,MT,Sim
11843,,IPIRANGA DO NORTE,MATO GROSSO,MT,Sim
11860,,ITANHANGA,MATO GROSSO,MT,Sim
60879,,São José do Povo,MATO GROSSO,MT,Sim
89796,,Colider,MATO GROSSO,MT,Sim
89818,,Nova Brasilândia,MATO GROSSO,MT,Sim
89834,,Paranatinga,MATO GROSSO,MT,Sim
89850,,Sinop,MATO GROSSO,MT,Sim
89877,,Alta Floresta,MATO GROSSO,MT,Sim
89893,,Araputanga,MATO GROSSO,MT,Sim
89915,,Jauru,MATO GROSSO,MT,Sim
89931,,São José dos Quatro Marcos,MATO GROSSO,MT,Sim
89958,,Rio Branco,MATO GROSSO,MT,Sim
89974,,Salto do Céu,MATO GROSSO,MT,Sim
89990,,Pontes e Lacerda,MATO GROSSO,MT,Sim
90018,,Acorizal,MATO GROSSO,MT,Sim
90050,,Alto Araguaia,MATO GROSSO,MT,Sim
90077,,Alto Garças,MATO GROSSO,MT,Sim
90093,,Alto Paraguai,MATO GROSSO,MT,Sim
90239,,Araguainha,MATO GROSSO,MT,Sim
90255,,Arenápolis,MATO GROSSO,MT,Sim
90271,,Aripuanã,MATO GROSSO,MT,Sim
90310,,Barão de Melgaço,MATO GROSSO,MT,Sim
90336,,Barra do Bugres,MATO GROSSO,MT,Sim
90352,,Barra do Garças,MATO GROSSO,MT,Sim
90476,,Cáceres,MATO GROSSO,MT,Sim
90590,,Chapada dos Guimarães,MATO GROSSO,MT,Sim
90670,,Cuiabá,MATO GROSSO,MT,Sim
90697,,Diamantino,MATO GROSSO,MT,Sim
90719,,Dom Aquino,MATO GROSSO,MT,Sim
90778,,General Carneiro,MATO GROSSO,MT,Sim
90832,,Guiratinga,MATO GROSSO,MT,Sim
90913,,Itiquira,MATO GROSSO,MT,Sim
90956,,Jaciara,MATO GROSSO,MT,Sim
91057,,Luciara,MATO GROSSO,MT,Sim
91090,,Vila Bela da Santíssima Trindade,MATO GROSSO,MT,Sim
91170,,Nobres,MATO GROSSO,MT,Sim
91197,,Nortelândia,MATO GROSSO,MT,Sim
91219,,Nossa Senhora do Livramento,MATO GROSSO,MT,Sim
91294,,Poconé,MATO GROSSO,MT,Sim
91332,,Ponte Branca,MATO GROSSO,MT,Sim
91359,,Porto dos Gaúchos,MATO GROSSO,MT,Sim
91391,,Poxoréo,MATO GROSSO,MT,Sim
91510,,Rondonópolis,MATO GROSSO,MT,Sim
91537,,Rosário Oeste,MATO GROSSO,MT,Sim
91553,,Santo Antônio do Leverger,MATO GROSSO,MT,Sim
91618,,Tesouro,MATO GROSSO,MT,Sim
91634,,Torixoréu,MATO GROSSO,MT,Sim
91677,,Várzea Grande,MATO GROSSO,MT,Sim
91774,,Mirassol D´Oeste,MATO GROSSO,MT,Sim
91812,,Pedra Preta,MATO GROSSO,MT,Sim
91839,,São Félix do Araguaia,MATO GROSSO,MT,Sim
91855,,Tangará da Serra,MATO GROSSO,MT,Sim
91898,,Juscimeira,MATO GROSSO,MT,Sim
91910,,Água Boa,MATO GROSSO,MT,Sim
91936,,Canarana,MATO GROSSO,MT,Sim
91952,,Nova Xavantina,MATO GROSSO,MT,Sim
91979,,Santa Terezinha,MATO GROSSO,MT,Sim
91995,,São José do Rio Claro,MATO GROSSO,MT,Sim
97411,,Ribeirão Cascalheira,MATO GROSSO,MT,Sim
97632,,Tapurah,MATO GROSSO,MT,Sim
97730,,Apiacás,MATO GROSSO,MT,Sim
97772,,Campo Novo do Parecis,MATO GROSSO,MT,Sim
97799,,Campo Verde,MATO GROSSO,MT,Sim
97837,,Castanheira,MATO GROSSO,MT,Sim
97896,,Claudia,MATO GROSSO,MT,Sim
98191,,Juará,MATO GROSSO,MT,Sim
98310,,Juina,MATO GROSSO,MT,Sim
98337,,Denise,MATO GROSSO,MT,Sim
98612,,Jangada,MATO GROSSO,MT,Sim
98639,,Campinapolis,MATO GROSSO,MT,Sim
98655,,Cocalinho,MATO GROSSO,MT,Sim
98671,,Novo São Joaquim,MATO GROSSO,MT,Sim
98698,,Araguaiana,MATO GROSSO,MT,Sim
98710,,Primavera do Leste,MATO GROSSO,MT,Sim
98736,,Brasnorte,MATO GROSSO,MT,Sim
98752,,Porto Esperidião,MATO GROSSO,MT,Sim
98779,,Indiavai,MATO GROSSO,MT,Sim
98795,,Reserva do Cabacal,MATO GROSSO,MT,Sim
98817,,Figueirópolis D´Oeste,MATO GROSSO,MT,Sim
98833,,Comodoro,MATO GROSSO,MT,Sim
98850,,Paranaita,MATO GROSSO,MT,Sim
98876,,Guarantã do Norte,MATO GROSSO,MT,Sim
98892,,Nova Canaã do Norte,MATO GROSSO,MT,Sim
98914,,Peixoto de Azevedo,MATO GROSSO,MT,Sim
98930,,Nova Olimpia,MATO GROSSO,MT,Sim
98957,,Porto Alegre do Norte,MATO GROSSO,MT,Sim
98973,,Vila Rica,MATO GROSSO,MT,Sim
98990,,Marcelândia,MATO GROSSO,MT,Sim
99015,,Itaúba,MATO GROSSO,MT,Sim
99031,,Novo Horizonte do Norte,MATO GROSSO,MT,Sim
99058,,Vera,MATO GROSSO,MT,Sim
99074,,Sorriso,MATO GROSSO,MT,Sim
99090,,Terra Nova do Norte,MATO GROSSO,MT,Sim
99112,,Alto Taquari,MATO GROSSO,MT,Sim
99210,,Juruena,MATO GROSSO,MT,Sim
99252,,Lucas do Rio Verde,MATO GROSSO,MT,Sim
99295,,Matupá,MATO GROSSO,MT,Sim
99376,,Nova Mutum,MATO GROSSO,MT,Sim
