Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
400,,ANAPU,PARÁ,PA,Sim
426,,BANNACH,PARÁ,PA,Sim
442,,BELTERRA,PARÁ,PA,Sim
469,,CACHOEIRA DO PIRIA,PARÁ,PA,Sim
485,,CANAA DOS CARAJAS,PARÁ,PA,Sim
507,,CURUA,PARÁ,PA,Sim
523,,FLORESTA DO ARAGUAIA,PARÁ,PA,Sim
540,,Marituba,PARÁ,PA,Sim
566,,NOVA IPIXUNA,PARÁ,PA,Sim
620,,QUATIPURU,PARÁ,PA,Sim
3697,,Santa Bárbara do Pará,PARÁ,PA,Sim
3719,,Santa Luzia do Pará,PARÁ,PA,Sim
3735,,Terra Alta,PARÁ,PA,Sim
3751,,Abel Figueiredo,PARÁ,PA,Sim
3778,,Eldorado dos Carajás,PARÁ,PA,Sim
3794,,Palestina do Pará,PARÁ,PA,Sim
3816,,São Domingos do Araguaia,PARÁ,PA,Sim
3832,,Água Azul do Norte,PARÁ,PA,Sim
3859,,Cumaru do Norte,PARÁ,PA,Sim
3875,,Pau D´Arco,PARÁ,PA,Sim
3891,,Aurora do Pará,PARÁ,PA,Sim
3913,,Nova Esperança do Piriá,PARÁ,PA,Sim
3930,,São João de Piribas,PARÁ,PA,Sim
3956,,Tailândia,PARÁ,PA,Sim
3972,,Tucumã,PARÁ,PA,Sim
3999,,Uruará,PARÁ,PA,Sim
4014,,Abaetetuba,PARÁ,PA,Sim
4030,,Acará,PARÁ,PA,Sim
4057,,Afuá,PARÁ,PA,Sim
4073,,Alenquer,PARÁ,PA,Sim
4090,,Almeirim,PARÁ,PA,Sim
4111,,Altamira,PARÁ,PA,Sim
4138,,Anajás,PARÁ,PA,Sim
4154,,Ananindeua,PARÁ,PA,Sim
4170,,Augusto Corrêa,PARÁ,PA,Sim
4197,,Aveiro,PARÁ,PA,Sim
4219,,Bagre,PARÁ,PA,Sim
4235,,Baião,PARÁ,PA,Sim
4251,,Barcarena,PARÁ,PA,Sim
4278,,Belém,PARÁ,PA,Sim
4294,,Benevides,PARÁ,PA,Sim
4316,,Bonito,PARÁ,PA,Sim
4332,,Bragança,PARÁ,PA,Sim
4359,,BREVES,PARÁ,PA,Sim
4375,,Bujaru,PARÁ,PA,Sim
4391,,CACHOEIRA DO ARARI,PARÁ,PA,Sim
4413,,Cametá,PARÁ,PA,Sim
4430,,Capanema,PARÁ,PA,Sim
4456,,Capitão Poco,PARÁ,PA,Sim
4472,,Castanhal,PARÁ,PA,Sim
4499,,CHAVES,PARÁ,PA,Sim
4510,,Colares,PARÁ,PA,Sim
4537,,Conceição do Araguaia,PARÁ,PA,Sim
4553,,CURRALINHO,PARÁ,PA,Sim
4570,,Curuçá,PARÁ,PA,Sim
4596,,FARO,PARÁ,PA,Sim
4618,,GURUPÁ,PARÁ,PA,Sim
4634,,Igarapé-Açu,PARÁ,PA,Sim
4650,,Igarapé-Miri,PARÁ,PA,Sim
4677,,Inhangapi,PARÁ,PA,Sim
4693,,Iritúia,PARÁ,PA,Sim
4715,,Itaituba,PARÁ,PA,Sim
4731,,Itupiranga,PARÁ,PA,Sim
4758,,Jacunda,PARÁ,PA,Sim
4774,,JURUTI,PARÁ,PA,Sim
4790,,Limoeiro do Ajuru,PARÁ,PA,Sim
4812,,Magalhães Barata,PARÁ,PA,Sim
4839,,Marabá,PARÁ,PA,Sim
4855,,Maracanã,PARÁ,PA,Sim
4871,,Marapanim,PARÁ,PA,Sim
4898,,MELGACO,PARÁ,PA,Sim
4910,,Mocajuba,PARÁ,PA,Sim
4936,,Moju,PARÁ,PA,Sim
4952,,MONTE ALEGRE,PARÁ,PA,Sim
4979,,MUANA,PARÁ,PA,Sim
4995,,Nova Timboteua,PARÁ,PA,Sim
5010,,OBIDOS,PARÁ,PA,Sim
5037,,Oeiras do Pará,PARÁ,PA,Sim
5053,,ORIXIMINA,PARÁ,PA,Sim
5070,,Ourém,PARÁ,PA,Sim
5096,,Paragominas,PARÁ,PA,Sim
5118,,Peixe-Boi,PARÁ,PA,Sim
5134,,PONTE DE PEDRAS,PARÁ,PA,Sim
5150,,PORTEL,PARÁ,PA,Sim
5177,,Porto de Moz,PARÁ,PA,Sim
5193,,PRAINHA,PARÁ,PA,Sim
5215,,Primavera,PARÁ,PA,Sim
5231,,Salinópolis,PARÁ,PA,Sim
5258,,SALVATERRA,PARÁ,PA,Sim
5274,,SANTA CRUZ DO ARARI,PARÁ,PA,Sim
5290,,Santa Isabel do Pará,PARÁ,PA,Sim
5312,,Santa Maria do Pará,PARÁ,PA,Sim
5339,,Santana do Araguaia,PARÁ,PA,Sim
5355,,SANTAREM,PARÁ,PA,Sim
5371,,Santarém Novo,PARÁ,PA,Sim
5398,,Santo Antônio do Tauá,PARÁ,PA,Sim
5410,,São Caetano de Odivelas,PARÁ,PA,Sim
5436,,São Domingos do Capim,PARÁ,PA,Sim
5452,,São Félix do Xingu,PARÁ,PA,Sim
5479,,São Francisco do Pará,PARÁ,PA,Sim
5495,,São João do Araguaia,PARÁ,PA,Sim
5517,,São Miguel do Guamá,PARÁ,PA,Sim
5533,,SAO SEBASTIAO DA BOA VISTA,PARÁ,PA,Sim
5550,,Senador José Porfírio,PARÁ,PA,Sim
5576,,SOURE,PARÁ,PA,Sim
5592,,Tomé-Açú,PARÁ,PA,Sim
5614,,Tucurui,PARÁ,PA,Sim
5630,,Vigia,PARÁ,PA,Sim
5657,,Viseu,PARÁ,PA,Sim
5673,,Redenção,PARÁ,PA,Sim
5690,,Rio Maria,PARÁ,PA,Sim
5711,,Xinguara,PARÁ,PA,Sim
5738,,Rondon do Pará,PARÁ,PA,Sim
5754,,Bom Jesus do Tocantins,PARÁ,PA,Sim
5770,,Brejo Grande do Araguaia,PARÁ,PA,Sim
5797,,Concórdia do Pará,PARÁ,PA,Sim
5819,,Curionópolis,PARÁ,PA,Sim
5835,,Dom Eliseu,PARÁ,PA,Sim
5851,,Garrafão do Norte,PARÁ,PA,Sim
5878,,Mãe do Rio,PARÁ,PA,Sim
5894,,Medicilândia,PARÁ,PA,Sim
5916,,Ourilândia do Norte,PARÁ,PA,Sim
5932,,Pacajá,PARÁ,PA,Sim
5959,,Parauapebas,PARÁ,PA,Sim
5975,,Rurópolis,PARÁ,PA,Sim
5991,,Santa Maria das Barreiras,PARÁ,PA,Sim
6190,,São Geraldo do Araguaia,PARÁ,PA,Sim
6211,,Ipixuna do Pará,PARÁ,PA,Sim
6238,,Ulianopolis,PARÁ,PA,Sim
6254,,Breu Branco,PARÁ,PA,Sim
6270,,Goianésia do Pará,PARÁ,PA,Sim
6297,,Novo Repartimento,PARÁ,PA,Sim
6319,,Jacareaçanga,PARÁ,PA,Sim
6335,,Novo Progresso,PARÁ,PA,Sim
6351,,Trairão,PARÁ,PA,Sim
6378,,TERRA SANTA,PARÁ,PA,Sim
6394,,Brasil Novo,PARÁ,PA,Sim
6416,,Vitória do Xingu,PARÁ,PA,Sim
