Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
4405,,ALCANTIL,PARAÍBA,PB,Sim
4421,,ALGODÃO DE JANDAIRA,PARAÍBA,PB,Sim
4464,,Aparecida,PARAÍBA,PB,Sim
4480,,Areia de Baraunas,PARAÍBA,PB,Sim
4529,,BARAÚNA,PARAÍBA,PB,Sim
4561,,BERNARDINO BATISTA,PARAÍBA,PB,Sim
4600,,CACIMBAS,PARAÍBA,PB,Sim
4626,,CAJAZEIRINHAS,PARAÍBA,PB,Sim
4642,,CAPIM,PARAÍBA,PB,Sim
4685,,CASSERENGUE,PARAÍBA,PB,Sim
4723,,COXIXOLA,PARAÍBA,PB,Sim
4766,,CURRAL DE CIMA,PARAÍBA,PB,Sim
4782,,DAMIÃO,PARAÍBA,PB,Sim
4804,,GADO BRAVO,PARAÍBA,PB,Sim
4847,,MARCAÇÃO,PARAÍBA,PB,Sim
4863,,Marizópolis,PARAÍBA,PB,Sim
4928,,MATUREIA,PARAÍBA,PB,Sim
4960,,POÇO DANTAS,PARAÍBA,PB,Sim
5002,,PEDRO RÉGIS,PARAÍBA,PB,Sim
5029,,RIACHÃO,PARAÍBA,PB,Sim
5045,,RIAÇHÃO DO BACAMARTE,PARAÍBA,PB,Sim
5061,,RIAÇHÃO DO POÇO,PARAÍBA,PB,Sim
5088,,RIACHO DE SANTO ANTONIO,PARAÍBA,PB,Sim
5100,,SANTA CECILIA,PARAÍBA,PB,Sim
5142,,SANTAREM,PARAÍBA,PB,Sim
5185,,SAO BENTINHO,PARAÍBA,PB,Sim
5207,,SAO DOMINGOS DO CARIRI,PARAÍBA,PB,Sim
5240,,SAO FRANCISCO,PARAÍBA,PB,Sim
5282,,SÃO JOSÉ DE PRINCESA,PARAÍBA,PB,Sim
5304,,SÃO JOSÉ DO BREJO DA CRUZ,PARAÍBA,PB,Sim
5380,,TENÓRIO,PARAÍBA,PB,Sim
19011,,Água Branca,PARAÍBA,PB,Sim
19038,,Aguiar,PARAÍBA,PB,Sim
19054,,Alagoa Grande,PARAÍBA,PB,Sim
19070,,Alagoa Viva,PARAÍBA,PB,Sim
19097,,Alagoinha,PARAÍBA,PB,Sim
