Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
5444,,ARACOIABA,PERNAMBUCO,PE,Sim
5460,,CASINHAS,PERNAMBUCO,PE,Sim
5509,,Jatobá,PERNAMBUCO,PE,Sim
5525,,Lagoa Grande,PERNAMBUCO,PE,Sim
5568,,SANTA FILOMENA,PERNAMBUCO,PE,Sim
5584,,Tamandare,PERNAMBUCO,PE,Sim
22896,,Lagoa do Carro,PERNAMBUCO,PE,Sim
22918,,Vertente do Lério,PERNAMBUCO,PE,Sim
22934,,Xexéu,PERNAMBUCO,PE,Sim
22950,,Jucati,PERNAMBUCO,PE,Sim
22977,,Santa Cruz,PERNAMBUCO,PE,Sim
22993,,Dormentes,PERNAMBUCO,PE,Sim
23019,,Afogados da Ingazeira,PERNAMBUCO,PE,Sim
23035,,Afrânio,PERNAMBUCO,PE,Sim
23051,,Agrestina,PERNAMBUCO,PE,Sim
23078,,Água Preta,PERNAMBUCO,PE,Sim
23094,,Águas Belas,PERNAMBUCO,PE,Sim
23116,,Alagoinha,PERNAMBUCO,PE,Sim
23132,,Aliança,PERNAMBUCO,PE,Sim
23159,,Altinho,PERNAMBUCO,PE,Sim
23175,,Amaraji,PERNAMBUCO,PE,Sim
23191,,Angelim,PERNAMBUCO,PE,Sim
23213,,Araripina,PERNAMBUCO,PE,Sim
23230,,Arcoverde,PERNAMBUCO,PE,Sim
23256,,Barra de Guabiraba,PERNAMBUCO,PE,Sim
23272,,Barreiros,PERNAMBUCO,PE,Sim
23299,,Belém de Maria,PERNAMBUCO,PE,Sim
23310,,Belém de São Francisco,PERNAMBUCO,PE,Sim
23337,,Belo Jardim,PERNAMBUCO,PE,Sim
23353,,Betânia,PERNAMBUCO,PE,Sim
23370,,Bezerros,PERNAMBUCO,PE,Sim
23396,,Bodocó,PERNAMBUCO,PE,Sim
23418,,Bom Conselho,PERNAMBUCO,PE,Sim
23434,,Bom Jardim,PERNAMBUCO,PE,Sim
23450,,Bonito,PERNAMBUCO,PE,Sim
23477,,Brejão,PERNAMBUCO,PE,Sim
23493,,Brejinho,PERNAMBUCO,PE,Sim
23515,,Brejo da Madre de Deus,PERNAMBUCO,PE,Sim
23531,,Buenos Aires,PERNAMBUCO,PE,Sim
23558,,Buique,PERNAMBUCO,PE,Sim
23574,,CABO DE SANTO AGOSTINHO,PERNAMBUCO,PE,Sim
23590,,Cabrobó,PERNAMBUCO,PE,Sim
23612,,Cachoeirinha,PERNAMBUCO,PE,Sim
23639,,Caetés,PERNAMBUCO,PE,Sim
23655,,Calçado,PERNAMBUCO,PE,Sim
23671,,Calumbi,PERNAMBUCO,PE,Sim
23698,,Camocim de São Félix,PERNAMBUCO,PE,Sim
23710,,Camutanga,PERNAMBUCO,PE,Sim
23736,,Canhotinho,PERNAMBUCO,PE,Sim
23752,,Capoeiras,PERNAMBUCO,PE,Sim
23779,,Carnaiba,PERNAMBUCO,PE,Sim
23795,,Carpina,PERNAMBUCO,PE,Sim
23817,,Caruarú,PERNAMBUCO,PE,Sim
23833,,Catende,PERNAMBUCO,PE,Sim
23850,,Cedro,PERNAMBUCO,PE,Sim
23876,,Chá de Alegria,PERNAMBUCO,PE,Sim
23892,,Chá Grande,PERNAMBUCO,PE,Sim
23914,,Condado,PERNAMBUCO,PE,Sim
23930,,Correntes,PERNAMBUCO,PE,Sim
23957,,Cortes,PERNAMBUCO,PE,Sim
23973,,Cumaru,PERNAMBUCO,PE,Sim
23990,,Cupira,PERNAMBUCO,PE,Sim
24015,,Custódia,PERNAMBUCO,PE,Sim
24031,,Escada,PERNAMBUCO,PE,Sim
24058,,Exú,PERNAMBUCO,PE,Sim
24074,,Feira Nova,PERNAMBUCO,PE,Sim
24090,,Ferreiros,PERNAMBUCO,PE,Sim
24112,,Flores,PERNAMBUCO,PE,Sim
24139,,Floresta,PERNAMBUCO,PE,Sim
24155,,Frei Miguelinho,PERNAMBUCO,PE,Sim
24171,,Gameleira,PERNAMBUCO,PE,Sim
24198,,Garanhuns,PERNAMBUCO,PE,Sim
24210,,Glória do Goitá,PERNAMBUCO,PE,Sim
24236,,Goiana,PERNAMBUCO,PE,Sim
24252,,Granito,PERNAMBUCO,PE,Sim
24279,,Gravatá,PERNAMBUCO,PE,Sim
24295,,Iati,PERNAMBUCO,PE,Sim
