Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
2666,,ACAUA,PIAUÍ,PI,Sim
2682,,ALVORADA DO GURGUEIA,PIAUÍ,PI,Sim
2704,,ASSUNCAO DO PIAUI,PIAUÍ,PI,Sim
2747,,BELA VISTA DO PIAUI,PIAUÍ,PI,Sim
2801,,BOA HORA,PIAUÍ,PI,Sim
2860,,CAJAZEIRAS DO PIAUI,PIAUÍ,PI,Sim
2909,,CAMPO ALEGRE DO FIDALGO,PIAUÍ,PI,Sim
2925,,Campo Grande do Piaui,PIAUÍ,PI,Sim
3107,,CURRALINHO,PIAUÍ,PI,Sim
3182,,GEMINIANO,PIAUÍ,PI,Sim
3220,,ILHA GRANDE DO PIAUI,PIAUÍ,PI,Sim
3263,,JOAO COSTA,PIAUÍ,PI,Sim
3344,,JUREMA,PIAUÍ,PI,Sim
3409,,Lagoa do Piauí,PIAUÍ,PI,Sim
3425,,LAGOA DO SÍTIO,PIAUÍ,PI,Sim
3441,,MADEIRO,PIAUÍ,PI,Sim
3484,,MILTON BRANDAO,PIAUÍ,PI,Sim
3549,,MURICI DOS PORTELAS,PIAUÍ,PI,Sim
3620,,PAJEU DO PIAUI,PIAUÍ,PI,Sim
3689,,PEDRO LAURENTINO,PIAUÍ,PI,Sim
3727,,PORTO ALEGRE DO PIAUI,PIAUÍ,PI,Sim
3824,,SAO GONCALO DO GURGUEIA,PIAUÍ,PI,Sim
3921,,SÃO MIGUEL DA BAIXA GRANDE,PIAUÍ,PI,Sim
4081,,VILA NOVA DO PIAUI,PIAUÍ,PI,Sim
4103,,WALL FERRAZ,PIAUÍ,PI,Sim
9954,,Coivaras,PIAUÍ,PI,Sim
9970,,Jardim do Mulato,PIAUÍ,PI,Sim
9997,,Lagoa Alegre,PIAUÍ,PI,Sim
10014,,Agricolândia,PIAUÍ,PI,Sim
10030,,Água Branca,PIAUÍ,PI,Sim
10057,,Alto Longa,PIAUÍ,PI,Sim
10073,,Altos,PIAUÍ,PI,Sim
10090,,Amarante,PIAUÍ,PI,Sim
10111,,Angical do Piauí,PIAUÍ,PI,Sim
10138,,Anisio de Abreu,PIAUÍ,PI,Sim
10154,,Antonio Almeida,PIAUÍ,PI,Sim
10170,,Aroazes,PIAUÍ,PI,Sim
10197,,Arraial,PIAUÍ,PI,Sim
10219,,Avelino Lopes,PIAUÍ,PI,Sim
10235,,Barras,PIAUÍ,PI,Sim
10251,,Barreiras do Piauí,PIAUÍ,PI,Sim
10278,,Barro Duro,PIAUÍ,PI,Sim
10294,,Batalha,PIAUÍ,PI,Sim
10316,,Beneditinos,PIAUÍ,PI,Sim
10332,,Bertolina,PIAUÍ,PI,Sim
10359,,Bocaina,PIAUÍ,PI,Sim
10375,,Bom Jesus,PIAUÍ,PI,Sim
10391,,Buriti dos Lopes,PIAUÍ,PI,Sim
10413,,Campínas do Piauí,PIAUÍ,PI,Sim
10430,,Campo Maior,PIAUÍ,PI,Sim
10456,,Canto do Buriti,PIAUÍ,PI,Sim
10472,,Capitão de Campos,PIAUÍ,PI,Sim
10499,,Caracol,PIAUÍ,PI,Sim
10510,,Castelo do Piauí,PIAUÍ,PI,Sim
10537,,Cocal,PIAUÍ,PI,Sim
10553,,Conceição do Canindé,PIAUÍ,PI,Sim
10570,,Corrente,PIAUÍ,PI,Sim
10596,,Cristalândia do Piauí,PIAUÍ,PI,Sim
10618,,Cristino Castro,PIAUÍ,PI,Sim
10634,,Curimatã,PIAUÍ,PI,Sim
10650,,Demerval Lobão,PIAUÍ,PI,Sim
10677,,Dom Expedito Lopes,PIAUÍ,PI,Sim
10693,,Elesbão Veloso,PIAUÍ,PI,Sim
10715,,Eliseu Martins,PIAUÍ,PI,Sim
10731,,Esperantina,PIAUÍ,PI,Sim
10758,,Flores do Piauí,PIAUÍ,PI,Sim
10774,,Floriano,PIAUÍ,PI,Sim
10790,,Francinópolis,PIAUÍ,PI,Sim
10812,,Francisco Ayres,PIAUÍ,PI,Sim
10839,,Francisco Santos,PIAUÍ,PI,Sim
10855,,Fronteiras,PIAUÍ,PI,Sim
10871,,Gilbués,PIAUÍ,PI,Sim
10898,,Guadalupe,PIAUÍ,PI,Sim
10910,,Hugo Napoleão,PIAUÍ,PI,Sim
10936,,Inhuma,PIAUÍ,PI,Sim
