Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
8303,,ARAPUA,PARANÁ,PR,Sim
8346,,BELA VISTA DA CAROBA,PARANÁ,PR,Sim
8362,,BOA VENTURA DE SÃO ROQUE,PARANÁ,PR,Sim
8389,,BOM JESUS DO SUL,PARANÁ,PR,Sim
8427,,Campo Magro,PARANÁ,PR,Sim
8486,,CRUZMALTINA,PARANÁ,PR,Sim
8524,,ESPIGÃO ALTO DO IGUAÇU,PARANÁ,PR,Sim
8540,,FERNANDES PINHEIRO,PARANÁ,PR,Sim
8567,,Foz do Jordão,PARANÁ,PR,Sim
8583,,GOIOXIM,PARANÁ,PR,Sim
8648,,MANFRINOPOLIS,PARANÁ,PR,Sim
8664,,MARQUINHO,PARANÁ,PR,Sim
8702,,PONTAL DO PARANÁ,PARANÁ,PR,Sim
8729,,PORTO BARREIRO,PARANÁ,PR,Sim
8761,,QUARTO CENTENÁRIO,PARANÁ,PR,Sim
8800,,RIO BRANCO DO IVAI,PARANÁ,PR,Sim
8826,,Serranópolis do Iguaçu,PARANÁ,PR,Sim
54496,,Doutor Ulysses,PARANÁ,PR,Sim
54518,,Itaperuçu,PARANÁ,PR,Sim
54534,,Pinhais,PARANÁ,PR,Sim
54550,,Tunas do Paraná,PARANÁ,PR,Sim
54577,,Nova Santa Bárbara,PARANÁ,PR,Sim
54593,,Mauá da Serra,PARANÁ,PR,Sim
54615,,Pitangueiras,PARANÁ,PR,Sim
54631,,Anahy,PARANÁ,PR,Sim
54658,,Diamante do Sul,PARANÁ,PR,Sim
54674,,Iguatu,PARANÁ,PR,Sim
54690,,Santa Lúcia,PARANÁ,PR,Sim
54712,,Boa Esperança do Iguacu,PARANÁ,PR,Sim
54739,,Cruzeiro do Iguaçu,PARANÁ,PR,Sim
54755,,Flor da Serra do Sul,PARANÁ,PR,Sim
54771,,Nova Esperança do Sudoeste,PARANÁ,PR,Sim
54798,,Nova Laranjeiras,PARANÁ,PR,Sim
54810,,Rio Bonito do Iguaçu,PARANÁ,PR,Sim
54836,,Virmond,PARANÁ,PR,Sim
54852,,Iracema do Oeste,PARANÁ,PR,Sim
54879,,Maripá,PARANÁ,PR,Sim
54895,,São Pedro do Iguaçu,PARANÁ,PR,Sim
54917,,Cafezal do Sul,PARANÁ,PR,Sim
54933,,Saudade do Iguaçu,PARANÁ,PR,Sim
54950,,Pinhal do São Bento,PARANÁ,PR,Sim
54976,,Ventania,PARANÁ,PR,Sim
54992,,Candói,PARANÁ,PR,Sim
55018,,Laranjal,PARANÁ,PR,Sim
55034,,Mato Rico,PARANÁ,PR,Sim
55050,,Santa Maria do Oeste,PARANÁ,PR,Sim
55077,,Lidianópolis,PARANÁ,PR,Sim
55093,,Ângulo,PARANÁ,PR,Sim
55115,,Farol,PARANÁ,PR,Sim
55131,,Rancho Alegre D´Oeste,PARANÁ,PR,Sim
55158,,SAO MANOEL DO PARANA,PARANÁ,PR,Sim
55174,,Novo Itacolomi,PARANÁ,PR,Sim
55190,,Santa Monica,PARANÁ,PR,Sim
55212,,Brasilândia do Sul,PARANÁ,PR,Sim
55239,,Vila Alta,PARANÁ,PR,Sim
55255,,Itaipulândia,PARANÁ,PR,Sim
55271,,Ramilândia,PARANÁ,PR,Sim
55298,,Entre Rios do Oeste,PARANÁ,PR,Sim
55310,,Mercedes,PARANÁ,PR,Sim
55336,,Pato Bragado,PARANÁ,PR,Sim
55352,,Quatro Pontes,PARANÁ,PR,Sim
74012,,Abatiá,PARANÁ,PR,Sim
74039,,Adrianópolis,PARANÁ,PR,Sim
74055,,Agudos do Sul,PARANÁ,PR,Sim
74071,,Almirante Tamandaré,PARANÁ,PR,Sim
74098,,Alto Paraná,PARANÁ,PR,Sim
74110,,Alto Piquiri,PARANÁ,PR,Sim
74136,,Alvorada do Sul,PARANÁ,PR,Sim
74152,,Amaporã,PARANÁ,PR,Sim
74179,,Ampére,PARANÁ,PR,Sim
74195,,Andirá,PARANÁ,PR,Sim
74217,,Antonina,PARANÁ,PR,Sim
74233,,Antonio Olinto,PARANÁ,PR,Sim
74250,,Apucarana,PARANÁ,PR,Sim
74276,,Arapongas,PARANÁ,PR,Sim
74292,,Arapoti,PARANÁ,PR,Sim
74314,,Araruna,PARANÁ,PR,Sim
74330,,Marilândia do Sul,PARANÁ,PR,Sim
74357,,Araucária,PARANÁ,PR,Sim
74373,,Assaí,PARANÁ,PR,Sim
74390,,Astorga,PARANÁ,PR,Sim
74411,,Atalaia,PARANÁ,PR,Sim
74438,,Balsa Nova,PARANÁ,PR,Sim
74454,,Bandeirantes,PARANÁ,PR,Sim
74470,,Barbosa Ferraz,PARANÁ,PR,Sim
74497,,Barracão,PARANÁ,PR,Sim
74519,,Barra do Jacaré,PARANÁ,PR,Sim
74535,,Bela Vista do Paraiso,PARANÁ,PR,Sim
74551,,Bituruna,PARANÁ,PR,Sim
74578,,BOA ESPERANÇA,PARANÁ,PR,Sim
74594,,Bocaiúva do Sul,PARANÁ,PR,Sim
74616,,Bom Sucesso,PARANÁ,PR,Sim
74632,,Borrazópolis,PARANÁ,PR,Sim
74659,,Cafeara,PARANÁ,PR,Sim
74675,,Califórnia,PARANÁ,PR,Sim
74691,,Cambará,PARANÁ,PR,Sim
74713,,Cambé,PARANÁ,PR,Sim
74730,,Cambira,PARANÁ,PR,Sim
74756,,Campina da Lagoa,PARANÁ,PR,Sim
74772,,Campina Grande do Sul,PARANÁ,PR,Sim
74799,,Campo do Tenente,PARANÁ,PR,Sim
74810,,Campo Largo,PARANÁ,PR,Sim
74837,,Campo Mourão,PARANÁ,PR,Sim
74853,,Cândido de Abreu,PARANÁ,PR,Sim
74870,,Capanema,PARANÁ,PR,Sim
74896,,Capitão Leonidas Marques,PARANÁ,PR,Sim
74918,,Carlópolis,PARANÁ,PR,Sim
74934,,Cascavel,PARANÁ,PR,Sim
74950,,Castro,PARANÁ,PR,Sim
