Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
7706,,ARMACAO DE BUZIOS,RIO DE JANEIRO,RJ,Sim
7722,,CARAPEBUS,RIO DE JANEIRO,RJ,Sim
7749,,Iguaba Grande,RIO DE JANEIRO,RJ,Sim
7765,,Macuco,RIO DE JANEIRO,RJ,Sim
7781,,PINHEIRAL,RIO DE JANEIRO,RJ,Sim
7803,,Porto Real,RIO DE JANEIRO,RJ,Sim
7820,,São Francisco de Itabapoana,RIO DE JANEIRO,RJ,Sim
7862,,SEROPÉDICA,RIO DE JANEIRO,RJ,Sim
7889,,Tanguá,RIO DE JANEIRO,RJ,Sim
11169,,MESQUITA,RIO DE JANEIRO,RJ,Sim
29076,,Guapimirim,RIO DE JANEIRO,RJ,Sim
29092,,Belford Roxo,RIO DE JANEIRO,RJ,Sim
29114,,Queimados,RIO DE JANEIRO,RJ,Sim
29130,,Japeri,RIO DE JANEIRO,RJ,Sim
29157,,Cardoso Moreira,RIO DE JANEIRO,RJ,Sim
29173,,Varre-Sai,RIO DE JANEIRO,RJ,Sim
29190,,Aperibé,RIO DE JANEIRO,RJ,Sim
29211,,Rio das Ostras,RIO DE JANEIRO,RJ,Sim
29238,,Quatis,RIO DE JANEIRO,RJ,Sim
29254,,Areal,RIO DE JANEIRO,RJ,Sim
29270,,Comendador Levy Gasparian,RIO DE JANEIRO,RJ,Sim
58017,,Angra dos Reis,RIO DE JANEIRO,RJ,Sim
58033,,Araruama,RIO DE JANEIRO,RJ,Sim
58050,,Barra do Piraí,RIO DE JANEIRO,RJ,Sim
58076,,Barra Mansa,RIO DE JANEIRO,RJ,Sim
58092,,Bom Jardim,RIO DE JANEIRO,RJ,Sim
58114,,Bom Jesus do Itabapoana,RIO DE JANEIRO,RJ,Sim
58130,,Cabo Frio,RIO DE JANEIRO,RJ,Sim
58157,,Cachoeiras de Macaçu,RIO DE JANEIRO,RJ,Sim
58173,,Cambuci,RIO DE JANEIRO,RJ,Sim
58190,,Campos dos Goitacazes,RIO DE JANEIRO,RJ,Sim
58211,,Cantagalo,RIO DE JANEIRO,RJ,Sim
58238,,Carmo,RIO DE JANEIRO,RJ,Sim
58254,,Casimiro de Abreu,RIO DE JANEIRO,RJ,Sim
58270,,Conceição de Macabu,RIO DE JANEIRO,RJ,Sim
58297,,Cordeiro,RIO DE JANEIRO,RJ,Sim
58319,,Duas Barras,RIO DE JANEIRO,RJ,Sim
58335,,Duque de Caxias,RIO DE JANEIRO,RJ,Sim
58351,,Engenheiro Paulo de Frontin,RIO DE JANEIRO,RJ,Sim
58378,,Itaboraí,RIO DE JANEIRO,RJ,Sim
58394,,Itaguaí,RIO DE JANEIRO,RJ,Sim
58416,,Itaocara,RIO DE JANEIRO,RJ,Sim
58432,,Itaperuna,RIO DE JANEIRO,RJ,Sim
58459,,Lajé do Muriaé,RIO DE JANEIRO,RJ,Sim
