Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
4162,,FERNANDO PEDROZA,RIO GRANDE DO NORTE,RN,Sim
4189,,Itaja,RIO GRANDE DO NORTE,RN,Sim
4200,,MAJOR SALES,RIO GRANDE DO NORTE,RN,Sim
4243,,SANTA MARIA,RIO GRANDE DO NORTE,RN,Sim
16012,,Acarí,RIO GRANDE DO NORTE,RN,Sim
16039,,Açu,RIO GRANDE DO NORTE,RN,Sim
16055,,Afonso Bezerra,RIO GRANDE DO NORTE,RN,Sim
16071,,Água Nova,RIO GRANDE DO NORTE,RN,Sim
16098,,Alexandria,RIO GRANDE DO NORTE,RN,Sim
16110,,Almino Afonso,RIO GRANDE DO NORTE,RN,Sim
16136,,Alto do Rodrigues,RIO GRANDE DO NORTE,RN,Sim
16152,,Angicos,RIO GRANDE DO NORTE,RN,Sim
16179,,Antônio Martins,RIO GRANDE DO NORTE,RN,Sim
16195,,Apodi,RIO GRANDE DO NORTE,RN,Sim
16217,,Areia Branca,RIO GRANDE DO NORTE,RN,Sim
16233,,Arês,RIO GRANDE DO NORTE,RN,Sim
16250,,Campo Grande,RIO GRANDE DO NORTE,RN,Sim
16276,,Baia Formosa,RIO GRANDE DO NORTE,RN,Sim
16292,,Barcelona,RIO GRANDE DO NORTE,RN,Sim
16314,,Bento Fernandes,RIO GRANDE DO NORTE,RN,Sim
16330,,Bom Jesus,RIO GRANDE DO NORTE,RN,Sim
16357,,Brejinho,RIO GRANDE DO NORTE,RN,Sim
16373,,Caiçara do Rio do Vento,RIO GRANDE DO NORTE,RN,Sim
16390,,Caicó,RIO GRANDE DO NORTE,RN,Sim
16411,,Campo Redondo,RIO GRANDE DO NORTE,RN,Sim
16438,,Canguaretama,RIO GRANDE DO NORTE,RN,Sim
16454,,Caraúbas,RIO GRANDE DO NORTE,RN,Sim
16470,,Carnaúba dos Dantas,RIO GRANDE DO NORTE,RN,Sim
16497,,Carnaubais,RIO GRANDE DO NORTE,RN,Sim
16519,,Ceará-Mirim,RIO GRANDE DO NORTE,RN,Sim
16535,,Cerro Cora,RIO GRANDE DO NORTE,RN,Sim
16551,,Coronel Ezequiel,RIO GRANDE DO NORTE,RN,Sim
16578,,Coronel João Pessoa,RIO GRANDE DO NORTE,RN,Sim
16594,,Cruzeta,RIO GRANDE DO NORTE,RN,Sim
16616,,Currais Novos,RIO GRANDE DO NORTE,RN,Sim
16632,,Doutor Severiano,RIO GRANDE DO NORTE,RN,Sim
16659,,Encanto,RIO GRANDE DO NORTE,RN,Sim
16675,,Equador,RIO GRANDE DO NORTE,RN,Sim
16691,,Espírito Santo,RIO GRANDE DO NORTE,RN,Sim
16713,,Extremoz,RIO GRANDE DO NORTE,RN,Sim
16730,,Felipe Guerra,RIO GRANDE DO NORTE,RN,Sim
16756,,Florânia,RIO GRANDE DO NORTE,RN,Sim
16772,,Francisco Dantas,RIO GRANDE DO NORTE,RN,Sim
16799,,Galinhos,RIO GRANDE DO NORTE,RN,Sim
16810,,Goianinha,RIO GRANDE DO NORTE,RN,Sim
16837,,Governador Dix-Sept Rosado,RIO GRANDE DO NORTE,RN,Sim
16853,,Grossos,RIO GRANDE DO NORTE,RN,Sim
16870,,Guamaré,RIO GRANDE DO NORTE,RN,Sim
16896,,Ielmo Marinho,RIO GRANDE DO NORTE,RN,Sim
16918,,Ipanguaçu,RIO GRANDE DO NORTE,RN,Sim
16934,,Ipueira,RIO GRANDE DO NORTE,RN,Sim
16950,,Itaú,RIO GRANDE DO NORTE,RN,Sim
16977,,Jacanã,RIO GRANDE DO NORTE,RN,Sim
16993,,Jandaira,RIO GRANDE DO NORTE,RN,Sim
17019,,Janduis,RIO GRANDE DO NORTE,RN,Sim
17035,,Boa Saúde,RIO GRANDE DO NORTE,RN,Sim
17051,,Japi,RIO GRANDE DO NORTE,RN,Sim
17078,,Jardim de Angicos,RIO GRANDE DO NORTE,RN,Sim
17094,,Jardim de Piranhas,RIO GRANDE DO NORTE,RN,Sim
