Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
19,,Guajará-Mirim,RONDÔNIA,RO,Sim
27,,ALTO ALEGRE DOS PARECIS,RONDÔNIA,RO,Sim
35,,Porto Velho,RONDÔNIA,RO,Sim
43,,BURITIS,RONDÔNIA,RO,Sim
51,,Ji-Paraná,RONDÔNIA,RO,Sim
60,,CHUPINGUAIA,RONDÔNIA,RO,Sim
78,,Ariquemes,RONDÔNIA,RO,Sim
86,,CUJUBIM,RONDÔNIA,RO,Sim
94,,Cacoal,RONDÔNIA,RO,Sim
108,,Nova União,RONDÔNIA,RO,Sim
116,,Pimenta Bueno,RONDÔNIA,RO,Sim
124,,PARECIS,RONDÔNIA,RO,Sim
132,,Vilhena,RONDÔNIA,RO,Sim
140,,PIMENTEIRAS DO OESTE,RONDÔNIA,RO,Sim
159,,Jaru,RONDÔNIA,RO,Sim
167,,PRIMAVERA DE RONDÔNIA,RONDÔNIA,RO,Sim
175,,Ouro Preto do Oeste,RONDÔNIA,RO,Sim
183,,SAO FELIPE D´OESTE,RONDÔNIA,RO,Sim
191,,Presidente Médici,RONDÔNIA,RO,Sim
205,,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,RO,Sim
213,,Costa Marques,RONDÔNIA,RO,Sim
221,,TEIXEIROPOLIS,RONDÔNIA,RO,Sim
230,,Colorado do Oeste,RONDÔNIA,RO,Sim
248,,VALE DO ANARI,RONDÔNIA,RO,Sim
256,,ESPIGAO D´Oeste,RONDÔNIA,RO,Sim
272,,Cerejeiras,RONDÔNIA,RO,Sim
299,,Rolim de Moura,RONDÔNIA,RO,Sim
337,,Alta Florest D´Oeste,RONDÔNIA,RO,Sim
353,,Alvorada D´Oeste,RONDÔNIA,RO,Sim
370,,Cabixi,RONDÔNIA,RO,Sim
396,,Machadinho D´Oeste,RONDÔNIA,RO,Sim
418,,Nova Brasilândia D´Oeste,RONDÔNIA,RO,Sim
434,,Santa Luzia D´Oeste,RONDÔNIA,RO,Sim
450,,SAO MIGUEL DO GUAPORE,RONDÔNIA,RO,Sim
477,,NOVA MAMORE,RONDÔNIA,RO,Sim
6750,,Alto Paraíso,RONDÔNIA,RO,Sim
6777,,Cacaulandia,RONDÔNIA,RO,Sim
6793,,Campo Novo de Rondônia,RONDÔNIA,RO,Sim
6815,,Candeias do Jamari,RONDÔNIA,RO,Sim
6831,,ITAPUA DO OESTE,RONDÔNIA,RO,Sim
6858,,Monte Negro,RONDÔNIA,RO,Sim
6874,,Rio Crespo,RONDÔNIA,RO,Sim
6890,,NOVO HORIZONTE DO OESTE,RONDÔNIA,RO,Sim
6912,,Castanheiras,RONDÔNIA,RO,Sim
6939,,Governador Jorge Teixeira,RONDÔNIA,RO,Sim
6955,,Ministro Andreazza,RONDÔNIA,RO,Sim
6971,,Mirante da Serra,RONDÔNIA,RO,Sim
6998,,Seringueiras,RONDÔNIA,RO,Sim
9750,,Theobromaa,RONDÔNIA,RO,Sim
9776,,Urupá,RONDÔNIA,RO,Sim
9792,,Vale do Paraiso,RONDÔNIA,RO,Sim
9814,,Corumbiara,RONDÔNIA,RO,Sim
