Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
264,,AMAJARI,RORAIMA,RR,Sim
280,,CANTÁ,RORAIMA,RR,Sim
302,,CAROEBE,RORAIMA,RR,Sim
329,,IRACEMA,RORAIMA,RR,Sim
345,,PACARAIMA,RORAIMA,RR,Sim
361,,Rorainopolis,RORAIMA,RR,Sim
388,,UIRAMUTA,RORAIMA,RR,Sim
3018,,Boa Vista,RORAIMA,RR,Sim
3034,,Caracaraí,RORAIMA,RR,Sim
3050,,Alto Alegre,RORAIMA,RR,Sim
3077,,Bonfim,RORAIMA,RR,Sim
3093,,Mucajaí,RORAIMA,RR,Sim
3115,,Normandia,RORAIMA,RR,Sim
3131,,São João da Baliza,RORAIMA,RR,Sim
3158,,São Luiz,RORAIMA,RR,Sim
