Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
9520,,ARARICÁ,RIO GRANDE DO SUL,RS,Sim
9547,,BALNEARIO PINHAL,RIO GRANDE DO SUL,RS,Sim
9563,,BARRA DO QUARAI,RIO GRANDE DO SUL,RS,Sim
9601,,Boa Vista do Sul,RIO GRANDE DO SUL,RS,Sim
9628,,Capivari do Sul,RIO GRANDE DO SUL,RS,Sim
9644,,CARAÁ,RIO GRANDE DO SUL,RS,Sim
9660,,CERRITO,RIO GRANDE DO SUL,RS,Sim
9687,,Chuí,RIO GRANDE DO SUL,RS,Sim
9725,,CRISTAL DO SUL,RIO GRANDE DO SUL,RS,Sim
9741,,DILERMANDO DE AGUIAR,RIO GRANDE DO SUL,RS,Sim
9768,,DOM PEDRO DE ALCÂNTARA,RIO GRANDE DO SUL,RS,Sim
9806,,Esperança do Sul,RIO GRANDE DO SUL,RS,Sim
9822,,ESTRELA VELHA,RIO GRANDE DO SUL,RS,Sim
9881,,Herveiras,RIO GRANDE DO SUL,RS,Sim
9903,,ITAARA,RIO GRANDE DO SUL,RS,Sim
9920,,JARI,RIO GRANDE DO SUL,RS,Sim
9989,,MARQUES DE SOUZA,RIO GRANDE DO SUL,RS,Sim
10022,,MUITOS CAPOES,RIO GRANDE DO SUL,RS,Sim
10049,,NOVA CANDELARIA,RIO GRANDE DO SUL,RS,Sim
10065,,Nova Ramada,RIO GRANDE DO SUL,RS,Sim
10081,,NOVO CABRAIS,RIO GRANDE DO SUL,RS,Sim
10103,,PASSA SET,RIO GRANDE DO SUL,RS,Sim
10120,,SENADOR SALGADO FILHO,RIO GRANDE DO SUL,RS,Sim
10146,,SETE DE SETEMBRO,RIO GRANDE DO SUL,RS,Sim
10162,,TABAI,RIO GRANDE DO SUL,RS,Sim
10189,,Toropi,RIO GRANDE DO SUL,RS,Sim
10200,,TURUÇU,RIO GRANDE DO SUL,RS,Sim
10227,,UBIRETAMA,RIO GRANDE DO SUL,RS,Sim
10243,,UNISTALDA,RIO GRANDE DO SUL,RS,Sim
10260,,VALE VERDE,RIO GRANDE DO SUL,RS,Sim
10286,,VESPASIANO CORREA,RIO GRANDE DO SUL,RS,Sim
10308,,VILA LANGARO,RIO GRANDE DO SUL,RS,Sim
11185,,ACEGUA,RIO GRANDE DO SUL,RS,Sim
11207,,ALMIRANTE TAMANDARÉ DO SUL,RIO GRANDE DO SUL,RS,Sim
11223,,ARROIO DO PADRE,RIO GRANDE DO SUL,RS,Sim
11240,,BOA VISTA DO CADEADO,RIO GRANDE DO SUL,RS,Sim
11282,,BOZANO,RIO GRANDE DO SUL,RS,Sim
11304,,CANUDOS DO VALE,RIO GRANDE DO SUL,RS,Sim
11320,,CAPÃO BONITO DO SUL,RIO GRANDE DO SUL,RS,Sim
11363,,COQUEIRO BAIXO,RIO GRANDE DO SUL,RS,Sim
11380,,Coronel Pilar,RIO GRANDE DO SUL,RS,Sim
11401,,CRUZALTENSE,RIO GRANDE DO SUL,RS,Sim
11509,,MATO QUEIMADO,RIO GRANDE DO SUL,RS,Sim
11525,,NOVO XINGU,RIO GRANDE DO SUL,RS,Sim
11541,,PAULO BENTO,RIO GRANDE DO SUL,RS,Sim
11568,,PEDRAS ALTAS,RIO GRANDE DO SUL,RS,Sim
11584,,PINHAL DA SERRA,RIO GRANDE DO SUL,RS,Sim
11649,,ROLADOR,RIO GRANDE DO SUL,RS,Sim
11665,,SANTA CECILIA DO SUL,RIO GRANDE DO SUL,RS,Sim
11681,,SANTA MARGARIDA DO SUL,RIO GRANDE DO SUL,RS,Sim
11703,,SAO JOSE DO SUL,RIO GRANDE DO SUL,RS,Sim
11720,,SÃO PEDRO DAS MISSÕES,RIO GRANDE DO SUL,RS,Sim
11746,,TIO HUGO,RIO GRANDE DO SUL,RS,Sim
57576,,Nova Santa Rita,RIO GRANDE DO SUL,RS,Sim
57592,,Mariana Pimentel,RIO GRANDE DO SUL,RS,Sim
57614,,Sertão Santana,RIO GRANDE DO SUL,RS,Sim
57630,,Gramado Xavier,RIO GRANDE DO SUL,RS,Sim
57657,,Passo do Sobrado,RIO GRANDE DO SUL,RS,Sim
57673,,Sinimbu,RIO GRANDE DO SUL,RS,Sim
57690,,Vale do Sol,RIO GRANDE DO SUL,RS,Sim
57711,,Barão do Triunfo,RIO GRANDE DO SUL,RS,Sim
57738,,Minas do Leão,RIO GRANDE DO SUL,RS,Sim
57754,,Morrinhos do Sul,RIO GRANDE DO SUL,RS,Sim
57770,,Três Forquilhas,RIO GRANDE DO SUL,RS,Sim
57797,,Arambare,RIO GRANDE DO SUL,RS,Sim
57819,,Sentinela do Sul,RIO GRANDE DO SUL,RS,Sim
57835,,Maquiné,RIO GRANDE DO SUL,RS,Sim
57851,,Xangri-la,RIO GRANDE DO SUL,RS,Sim
57878,,Pinhal Grande,RIO GRANDE DO SUL,RS,Sim
57894,,Quevedos,RIO GRANDE DO SUL,RS,Sim
57916,,São João do Polesine,RIO GRANDE DO SUL,RS,Sim
57932,,São Martinho da Serra,RIO GRANDE DO SUL,RS,Sim
57959,,Vila Nova do Sul,RIO GRANDE DO SUL,RS,Sim
57975,,Coxilha,RIO GRANDE DO SUL,RS,Sim
57991,,Gentil,RIO GRANDE DO SUL,RS,Sim
59315,,Mato Castelhano,RIO GRANDE DO SUL,RS,Sim
59331,,Mormaço,RIO GRANDE DO SUL,RS,Sim
59358,,Muliterno,RIO GRANDE DO SUL,RS,Sim
59374,,Nicolau Vergueiro,RIO GRANDE DO SUL,RS,Sim
59390,,Pontão,RIO GRANDE DO SUL,RS,Sim
59412,,Santo Antônio do Palma,RIO GRANDE DO SUL,RS,Sim
59439,,Barra Funda,RIO GRANDE DO SUL,RS,Sim
59455,,Coqueiros do Sul,RIO GRANDE DO SUL,RS,Sim
59471,,Engenho Velho,RIO GRANDE DO SUL,RS,Sim
59498,,Gramado dos Loureiros,RIO GRANDE DO SUL,RS,Sim
59510,,Lagoa dos Três Cantos,RIO GRANDE DO SUL,RS,Sim
59536,,Nova Boa Vista,RIO GRANDE DO SUL,RS,Sim
59552,,Rio dos Índios,RIO GRANDE DO SUL,RS,Sim
59579,,Santo Antônio do Planalto,RIO GRANDE DO SUL,RS,Sim
59595,,Barra do Rio Azul,RIO GRANDE DO SUL,RS,Sim
59617,,Carlos Gomes,RIO GRANDE DO SUL,RS,Sim
59633,,Centenário,RIO GRANDE DO SUL,RS,Sim
59650,,Charrua,RIO GRANDE DO SUL,RS,Sim
59676,,Ponte Preta,RIO GRANDE DO SUL,RS,Sim
59692,,Ametista do Sul,RIO GRANDE DO SUL,RS,Sim
59714,,Dois Irmãos das Missões,RIO GRANDE DO SUL,RS,Sim
59730,,Novo Tiradentes,RIO GRANDE DO SUL,RS,Sim
59757,,Pinheirinho do Vale,RIO GRANDE DO SUL,RS,Sim
59773,,Santo Expedito do Sul,RIO GRANDE DO SUL,RS,Sim
59790,,Tupanci do Sul,RIO GRANDE DO SUL,RS,Sim
59811,,Boa Vista das Missões,RIO GRANDE DO SUL,RS,Sim
59838,,Lajeado do Bugre,RIO GRANDE DO SUL,RS,Sim
59854,,Novo Barreiro,RIO GRANDE DO SUL,RS,Sim
59870,,Sagrada Família,RIO GRANDE DO SUL,RS,Sim
59897,,São José das Missões,RIO GRANDE DO SUL,RS,Sim
59919,,Nova Pádua,RIO GRANDE DO SUL,RS,Sim
59935,,Monte Belo do Sul,RIO GRANDE DO SUL,RS,Sim
59951,,Santa Tereza,RIO GRANDE DO SUL,RS,Sim
59978,,São Vlentim do Sul,RIO GRANDE DO SUL,RS,Sim
59994,,União da Serra,RIO GRANDE DO SUL,RS,Sim
60135,,Campestre da Serra,RIO GRANDE DO SUL,RS,Sim
60151,,São José dos Ausentes,RIO GRANDE DO SUL,RS,Sim
60178,,Lindolfo Collor,RIO GRANDE DO SUL,RS,Sim
60194,,Morro Reuter,RIO GRANDE DO SUL,RS,Sim
60216,,Picada Café,RIO GRANDE DO SUL,RS,Sim
60232,,Presidente Lucena,RIO GRANDE DO SUL,RS,Sim
60259,,Capitão,RIO GRANDE DO SUL,RS,Sim
60275,,Itapucá,RIO GRANDE DO SUL,RS,Sim
60291,,Colinas,RIO GRANDE DO SUL,RS,Sim
60313,,Mato Leitão,RIO GRANDE DO SUL,RS,Sim
60330,,Santa Clara do Sul,RIO GRANDE DO SUL,RS,Sim
60356,,Sério,RIO GRANDE DO SUL,RS,Sim
60372,,Travesseiro,RIO GRANDE DO SUL,RS,Sim
60399,,Maratá,RIO GRANDE DO SUL,RS,Sim
60410,,Pareci Novo,RIO GRANDE DO SUL,RS,Sim
60437,,São Pedro da Serra,RIO GRANDE DO SUL,RS,Sim
60453,,Alto Feliz,RIO GRANDE DO SUL,RS,Sim
60470,,Linha Nova,RIO GRANDE DO SUL,RS,Sim
60496,,Vale Real,RIO GRANDE DO SUL,RS,Sim
60518,,Inhacorá,RIO GRANDE DO SUL,RS,Sim
60534,,Vitória das Missões,RIO GRANDE DO SUL,RS,Sim
60550,,Coronel Barros,RIO GRANDE DO SUL,RS,Sim
60577,,Novo Macchado,RIO GRANDE DO SUL,RS,Sim
60593,,São José do Inhacorá,RIO GRANDE DO SUL,RS,Sim
60615,,Salvador das Missões,RIO GRANDE DO SUL,RS,Sim
60631,,São Pedro do Butiá,RIO GRANDE DO SUL,RS,Sim
60658,,Porto Mauá,RIO GRANDE DO SUL,RS,Sim
60674,,Porto Vera Cruz,RIO GRANDE DO SUL,RS,Sim
60690,,Barra do Guarita,RIO GRANDE DO SUL,RS,Sim
60712,,Bom Progresso,RIO GRANDE DO SUL,RS,Sim
60739,,Derrubadas,RIO GRANDE DO SUL,RS,Sim
60755,,São Valério do Sul,RIO GRANDE DO SUL,RS,Sim
60771,,Tiradentes do Sul,RIO GRANDE DO SUL,RS,Sim
60798,,Manoel Viana,RIO GRANDE DO SUL,RS,Sim
60810,,Garruchos,RIO GRANDE DO SUL,RS,Sim
60836,,Candiota,RIO GRANDE DO SUL,RS,Sim
60852,,Hulha Negra,RIO GRANDE DO SUL,RS,Sim
72931,,São Vendelino,RIO GRANDE DO SUL,RS,Sim
72958,,Imigrante,RIO GRANDE DO SUL,RS,Sim
72974,,Imbé,RIO GRANDE DO SUL,RS,Sim
72990,,Ibirapuita,RIO GRANDE DO SUL,RS,Sim
73016,,Estação,RIO GRANDE DO SUL,RS,Sim
73032,,Vista Gaúcha,RIO GRANDE DO SUL,RS,Sim
73059,,Vista Alegre do Prata,RIO GRANDE DO SUL,RS,Sim
73075,,Vista Alegre,RIO GRANDE DO SUL,RS,Sim
73091,,Vila Maria,RIO GRANDE DO SUL,RS,Sim
73113,,Vila Flores,RIO GRANDE DO SUL,RS,Sim
73130,,Taquaruçu do Sul,RIO GRANDE DO SUL,RS,Sim
73156,,Silveira Martins,RIO GRANDE DO SUL,RS,Sim
73172,,Segredo,RIO GRANDE DO SUL,RS,Sim
73199,,Vanini,RIO GRANDE DO SUL,RS,Sim
73210,,Tupandi,RIO GRANDE DO SUL,RS,Sim
73237,,Tunas,RIO GRANDE DO SUL,RS,Sim
73253,,Trindade do Sul,RIO GRANDE DO SUL,RS,Sim
73270,,Três Palmeiras,RIO GRANDE DO SUL,RS,Sim
73296,,Três Cachoeiras,RIO GRANDE DO SUL,RS,Sim
73318,,Três Arroios,RIO GRANDE DO SUL,RS,Sim
73334,,Terra de Areia,RIO GRANDE DO SUL,RS,Sim
73350,,Sede Nova,RIO GRANDE DO SUL,RS,Sim
73377,,Santa Maria do Herval,RIO GRANDE DO SUL,RS,Sim
73393,,Saldanha Marinho,RIO GRANDE DO SUL,RS,Sim
73415,,São Miguel das Missões,RIO GRANDE DO SUL,RS,Sim
73431,,São José do Hortêncio,RIO GRANDE DO SUL,RS,Sim
73458,,São José do Herval,RIO GRANDE DO SUL,RS,Sim
73474,,São Jorge,RIO GRANDE DO SUL,RS,Sim
73490,,São João da Urtiga,RIO GRANDE DO SUL,RS,Sim
73512,,São Domingos do Sul,RIO GRANDE DO SUL,RS,Sim
73539,,Riozinho,RIO GRANDE DO SUL,RS,Sim
73555,,Relvado,RIO GRANDE DO SUL,RS,Sim
73571,,Quinze de Novembro,RIO GRANDE DO SUL,RS,Sim
73598,,Protásio Alves,RIO GRANDE DO SUL,RS,Sim
73610,,Progresso,RIO GRANDE DO SUL,RS,Sim
73636,,Pouso Novo,RIO GRANDE DO SUL,RS,Sim
73652,,Poço das Antas,RIO GRANDE DO SUL,RS,Sim
73679,,Pirapo,RIO GRANDE DO SUL,RS,Sim
73695,,Pinhal,RIO GRANDE DO SUL,RS,Sim
73717,,Paverama,RIO GRANDE DO SUL,RS,Sim
73733,,Paraiso do Sul,RIO GRANDE DO SUL,RS,Sim
73750,,Pântano Grande,RIO GRANDE DO SUL,RS,Sim
73776,,Nova Roma do Sul,RIO GRANDE DO SUL,RS,Sim
73792,,Nova Hartz,RIO GRANDE DO SUL,RS,Sim
73814,,Nova Esperança do Sul,RIO GRANDE DO SUL,RS,Sim
73830,,Nova Alvorada,RIO GRANDE DO SUL,RS,Sim
73857,,Morro Redondo,RIO GRANDE DO SUL,RS,Sim
73873,,Montauri,RIO GRANDE DO SUL,RS,Sim
73890,,Lagoão,RIO GRANDE DO SUL,RS,Sim
73911,,Jaquirana,RIO GRANDE DO SUL,RS,Sim
73938,,Jaboticaba,RIO GRANDE DO SUL,RS,Sim
73954,,Ivorá,RIO GRANDE DO SUL,RS,Sim
73970,,Itacurubi,RIO GRANDE DO SUL,RS,Sim
73997,,Ipiranga do Sul,RIO GRANDE DO SUL,RS,Sim
83992,,Ipê,RIO GRANDE DO SUL,RS,Sim
84018,,Ibarama,RIO GRANDE DO SUL,RS,Sim
84034,,Harmonia,RIO GRANDE DO SUL,RS,Sim
84050,,Guabiju,RIO GRANDE DO SUL,RS,Sim
84077,,Glorinha,RIO GRANDE DO SUL,RS,Sim
84093,,Faxinalzinho,RIO GRANDE DO SUL,RS,Sim
84115,,Fagundes Varela,RIO GRANDE DO SUL,RS,Sim
84131,,Eugênio de Castro,RIO GRANDE DO SUL,RS,Sim
84158,,Ernestina,RIO GRANDE DO SUL,RS,Sim
84174,,Erebango,RIO GRANDE DO SUL,RS,Sim
84190,,Entre Ijuis,RIO GRANDE DO SUL,RS,Sim
84212,,Entre Rios do Sul,RIO GRANDE DO SUL,RS,Sim
84239,,Eldorado do Sul,RIO GRANDE DO SUL,RS,Sim
84255,,Doutor Mauricio Cardoso,RIO GRANDE DO SUL,RS,Sim
84271,,Dois Lajeados,RIO GRANDE DO SUL,RS,Sim
84298,,Dezesseis de Novembro,RIO GRANDE DO SUL,RS,Sim
84310,,Cristal,RIO GRANDE DO SUL,RS,Sim
84336,,Cidreira,RIO GRANDE DO SUL,RS,Sim
84352,,Cerro Grande do Sul,RIO GRANDE DO SUL,RS,Sim
84379,,Cerro Grande,RIO GRANDE DO SUL,RS,Sim
84395,,Cerro Branco,RIO GRANDE DO SUL,RS,Sim
84417,,Caseiros,RIO GRANDE DO SUL,RS,Sim
84433,,Capela de Santana,RIO GRANDE DO SUL,RS,Sim
84450,,Campos Borges,RIO GRANDE DO SUL,RS,Sim
84476,,Camargo,RIO GRANDE DO SUL,RS,Sim
84492,,Brochier do Marata,RIO GRANDE DO SUL,RS,Sim
84832,,Boqueirão do Leão,RIO GRANDE DO SUL,RS,Sim
84859,,Barão,RIO GRANDE DO SUL,RS,Sim
84875,,Áurea,RIO GRANDE DO SUL,RS,Sim
84891,,Arroio do Sal,RIO GRANDE DO SUL,RS,Sim
84913,,André da Rocha,RIO GRANDE DO SUL,RS,Sim
84930,,Amaral Ferrador,RIO GRANDE DO SUL,RS,Sim
84956,,Alto Alegre,RIO GRANDE DO SUL,RS,Sim
84972,,Alegria,RIO GRANDE DO SUL,RS,Sim
84999,,Água Santa,RIO GRANDE DO SUL,RS,Sim
85014,,Agudo,RIO GRANDE DO SUL,RS,Sim
85030,,Ajuricaba,RIO GRANDE DO SUL,RS,Sim
85057,,Alecrim,RIO GRANDE DO SUL,RS,Sim
85073,,Alegrete,RIO GRANDE DO SUL,RS,Sim
85090,,Alpestre,RIO GRANDE DO SUL,RS,Sim
85111,,Alvorada,RIO GRANDE DO SUL,RS,Sim
85138,,Anta Gorda,RIO GRANDE DO SUL,RS,Sim
85154,,Antonio Prado,RIO GRANDE DO SUL,RS,Sim
85170,,Aratiba,RIO GRANDE DO SUL,RS,Sim
85197,,Arroio do Meio,RIO GRANDE DO SUL,RS,Sim
85219,,Arroio dos Ratos,RIO GRANDE DO SUL,RS,Sim
85235,,Arroio do Tigre,RIO GRANDE DO SUL,RS,Sim
85251,,Arroio Grande,RIO GRANDE DO SUL,RS,Sim
85278,,Arvorezinha,RIO GRANDE DO SUL,RS,Sim
85294,,Augusto Pestana,RIO GRANDE DO SUL,RS,Sim
85316,,Bagé,RIO GRANDE DO SUL,RS,Sim
85332,,Barão de Cotegipe,RIO GRANDE DO SUL,RS,Sim
85359,,Barracão,RIO GRANDE DO SUL,RS,Sim
85375,,Barra do Ribeiro,RIO GRANDE DO SUL,RS,Sim
85391,,Barros Cassal,RIO GRANDE DO SUL,RS,Sim
85413,,Bento Gonçalves,RIO GRANDE DO SUL,RS,Sim
85430,,Boa Vista do Buricá,RIO GRANDE DO SUL,RS,Sim
85456,,Bom Jesus,RIO GRANDE DO SUL,RS,Sim
85472,,Bom Retiro do Sul,RIO GRANDE DO SUL,RS,Sim
85499,,Bossoroca,RIO GRANDE DO SUL,RS,Sim
85510,,Braga,RIO GRANDE DO SUL,RS,Sim
85537,,Butiá,RIO GRANDE DO SUL,RS,Sim
85553,,Caçapava do Sul,RIO GRANDE DO SUL,RS,Sim
85570,,Cacequi,RIO GRANDE DO SUL,RS,Sim
85596,,Cachoeira do Sul,RIO GRANDE DO SUL,RS,Sim
85618,,Cachoeirinha,RIO GRANDE DO SUL,RS,Sim
85634,,Cacique Doble,RIO GRANDE DO SUL,RS,Sim
85650,,Caibaté,RIO GRANDE DO SUL,RS,Sim
85677,,Caiçara,RIO GRANDE DO SUL,RS,Sim
85693,,Camaquã,RIO GRANDE DO SUL,RS,Sim
85715,,Cambará do Sul,RIO GRANDE DO SUL,RS,Sim
85731,,Campina das Missões,RIO GRANDE DO SUL,RS,Sim
85758,,Campinas do Sul,RIO GRANDE DO SUL,RS,Sim
85774,,Campo Bom,RIO GRANDE DO SUL,RS,Sim
85790,,Campo Novo,RIO GRANDE DO SUL,RS,Sim
85812,,Candelária,RIO GRANDE DO SUL,RS,Sim
85839,,Candido Godoi,RIO GRANDE DO SUL,RS,Sim
85855,,Canela,RIO GRANDE DO SUL,RS,Sim
85871,,Canguçu,RIO GRANDE DO SUL,RS,Sim
85898,,Canoas,RIO GRANDE DO SUL,RS,Sim
85910,,Carazinho,RIO GRANDE DO SUL,RS,Sim
85936,,Carlos Barbosa,RIO GRANDE DO SUL,RS,Sim
85952,,Casca,RIO GRANDE DO SUL,RS,Sim
85979,,Catuipe,RIO GRANDE DO SUL,RS,Sim
85995,,Caxias do Sul,RIO GRANDE DO SUL,RS,Sim
86010,,Cerro Largo,RIO GRANDE DO SUL,RS,Sim
86037,,Chapada,RIO GRANDE DO SUL,RS,Sim
86053,,Chiapetta,RIO GRANDE DO SUL,RS,Sim
86070,,Ciriaco,RIO GRANDE DO SUL,RS,Sim
86096,,Colorado,RIO GRANDE DO SUL,RS,Sim
86118,,Condor,RIO GRANDE DO SUL,RS,Sim
86134,,Constantina,RIO GRANDE DO SUL,RS,Sim
86150,,Coronel Bicaco,RIO GRANDE DO SUL,RS,Sim
86177,,Crissiumal,RIO GRANDE DO SUL,RS,Sim
86193,,Cruz Alta,RIO GRANDE DO SUL,RS,Sim
86215,,Cruzeiro do Sul,RIO GRANDE DO SUL,RS,Sim
86231,,David Canabarro,RIO GRANDE DO SUL,RS,Sim
86258,,Dois Irmãos,RIO GRANDE DO SUL,RS,Sim
86274,,Dom Feliciano,RIO GRANDE DO SUL,RS,Sim
86290,,Dom Pedrito,RIO GRANDE DO SUL,RS,Sim
86312,,Dona Francisca,RIO GRANDE DO SUL,RS,Sim
86339,,Encantado,RIO GRANDE DO SUL,RS,Sim
86355,,Encruzilhada do Sul,RIO GRANDE DO SUL,RS,Sim
86371,,Erechim,RIO GRANDE DO SUL,RS,Sim
86398,,Herval,RIO GRANDE DO SUL,RS,Sim
86410,,Erval Grande,RIO GRANDE DO SUL,RS,Sim
86436,,Erval Seco,RIO GRANDE DO SUL,RS,Sim
86452,,Esmeralda,RIO GRANDE DO SUL,RS,Sim
86479,,Espumoso,RIO GRANDE DO SUL,RS,Sim
86495,,Estância Velha,RIO GRANDE DO SUL,RS,Sim
86517,,Esteio,RIO GRANDE DO SUL,RS,Sim
86533,,Estrela,RIO GRANDE DO SUL,RS,Sim
86550,,Farroupilha,RIO GRANDE DO SUL,RS,Sim
86576,,Faxinal do Soturno,RIO GRANDE DO SUL,RS,Sim
86592,,Feliz,RIO GRANDE DO SUL,RS,Sim
86614,,Flores da Cunha,RIO GRANDE DO SUL,RS,Sim
86630,,Fontoura Xavier,RIO GRANDE DO SUL,RS,Sim
86657,,Formigueiro,RIO GRANDE DO SUL,RS,Sim
86673,,Frederico Westphalen,RIO GRANDE DO SUL,RS,Sim
86690,,Garibaldi,RIO GRANDE DO SUL,RS,Sim
86711,,Gaurama,RIO GRANDE DO SUL,RS,Sim
86738,,General Câmara,RIO GRANDE DO SUL,RS,Sim
86754,,São Vicente do Sul,RIO GRANDE DO SUL,RS,Sim
86770,,Getúlio Vargas,RIO GRANDE DO SUL,RS,Sim
86797,,Giruá,RIO GRANDE DO SUL,RS,Sim
86819,,Gramado,RIO GRANDE DO SUL,RS,Sim
86835,,Gravataí,RIO GRANDE DO SUL,RS,Sim
86851,,Guaiba,RIO GRANDE DO SUL,RS,Sim
86878,,Guaporé,RIO GRANDE DO SUL,RS,Sim
86894,,Guarani das Missões,RIO GRANDE DO SUL,RS,Sim
86916,,Horizontina,RIO GRANDE DO SUL,RS,Sim
86932,,Charqueadas,RIO GRANDE DO SUL,RS,Sim
86959,,Humaitá,RIO GRANDE DO SUL,RS,Sim
86975,,Ibiaçá,RIO GRANDE DO SUL,RS,Sim
86991,,Ibiraiaras,RIO GRANDE DO SUL,RS,Sim
87017,,Ibirubá,RIO GRANDE DO SUL,RS,Sim
87033,,Igrejinha,RIO GRANDE DO SUL,RS,Sim
87050,,Ijuí,RIO GRANDE DO SUL,RS,Sim
87076,,Ilópolis,RIO GRANDE DO SUL,RS,Sim
87092,,Independência,RIO GRANDE DO SUL,RS,Sim
87114,,Iraí,RIO GRANDE DO SUL,RS,Sim
87130,,Itaqui,RIO GRANDE DO SUL,RS,Sim
87157,,Itatiba do Sul,RIO GRANDE DO SUL,RS,Sim
87173,,Ivoti,RIO GRANDE DO SUL,RS,Sim
87190,,Jacutinga,RIO GRANDE DO SUL,RS,Sim
87211,,Jaguarão,RIO GRANDE DO SUL,RS,Sim
87238,,Jaguari,RIO GRANDE DO SUL,RS,Sim
87254,,Júlio de Castilhos,RIO GRANDE DO SUL,RS,Sim
87270,,Lagoa Vermelha,RIO GRANDE DO SUL,RS,Sim
87297,,Lajeado,RIO GRANDE DO SUL,RS,Sim
87319,,Lavras do Sul,RIO GRANDE DO SUL,RS,Sim
87335,,Liberato Salzano,RIO GRANDE DO SUL,RS,Sim
87351,,Machadinho,RIO GRANDE DO SUL,RS,Sim
87378,,Maraú,RIO GRANDE DO SUL,RS,Sim
87394,,Marcelino Ramos,RIO GRANDE DO SUL,RS,Sim
87416,,Mariano Moro,RIO GRANDE DO SUL,RS,Sim
87432,,Mata,RIO GRANDE DO SUL,RS,Sim
87459,,Maximiliano de Almeida,RIO GRANDE DO SUL,RS,Sim
87475,,Miraguai,RIO GRANDE DO SUL,RS,Sim
87491,,Montenegro,RIO GRANDE DO SUL,RS,Sim
87513,,Mostardas,RIO GRANDE DO SUL,RS,Sim
87530,,Muçum,RIO GRANDE DO SUL,RS,Sim
87556,,Não-me-Toque,RIO GRANDE DO SUL,RS,Sim
87572,,Nonoai,RIO GRANDE DO SUL,RS,Sim
87599,,Nova Araçá,RIO GRANDE DO SUL,RS,Sim
87610,,Nova Bassano,RIO GRANDE DO SUL,RS,Sim
87637,,Nova Bréscia,RIO GRANDE DO SUL,RS,Sim
87653,,Nova Palma,RIO GRANDE DO SUL,RS,Sim
87670,,Nova Petrópolis,RIO GRANDE DO SUL,RS,Sim
87696,,Nova Prata,RIO GRANDE DO SUL,RS,Sim
87718,,Novo Hamburgo,RIO GRANDE DO SUL,RS,Sim
87734,,Osório,RIO GRANDE DO SUL,RS,Sim
87750,,Paim Filho,RIO GRANDE DO SUL,RS,Sim
87777,,Palmeira das Missões,RIO GRANDE DO SUL,RS,Sim
87793,,Palmitinho,RIO GRANDE DO SUL,RS,Sim
87815,,Panambi,RIO GRANDE DO SUL,RS,Sim
87831,,Parai,RIO GRANDE DO SUL,RS,Sim
87858,,Passo Fundo,RIO GRANDE DO SUL,RS,Sim
