Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
8869,,alto bela vista,SANTA CATARINA,SC,Sim
8907,,BALNEARIO GAIVOTA,SANTA CATARINA,SC,Sim
8923,,BANDEIRANTE,SANTA CATARINA,SC,Sim
8982,,BOCAINA DO SUL,SANTA CATARINA,SC,Sim
9008,,BOM JESUS,SANTA CATARINA,SC,Sim
9024,,BOM JESUS DO OESTE,SANTA CATARINA,SC,Sim
9121,,ENTRE RIOS,SANTA CATARINA,SC,Sim
9164,,FLOR DO SERTAO,SANTA CATARINA,SC,Sim
9202,,IBIAM,SANTA CATARINA,SC,Sim
9229,,IOMERE,SANTA CATARINA,SC,Sim
9261,,LUZERNA,SANTA CATARINA,SC,Sim
9342,,PRINCESA,SANTA CATARINA,SC,Sim
9440,,São Pedro de Alcântara,SANTA CATARINA,SC,Sim
9482,,Treviso,SANTA CATARINA,SC,Sim
9504,,ZORTÉA,SANTA CATARINA,SC,Sim
9733,,Forquilhinha,SANTA CATARINA,SC,Sim
55379,,Bombinhas,SANTA CATARINA,SC,Sim
55395,,Morro Grande,SANTA CATARINA,SC,Sim
55417,,Passo de Torres,SANTA CATARINA,SC,Sim
55433,,Cocal do Sul,SANTA CATARINA,SC,Sim
55450,,Capivari de Baixo,SANTA CATARINA,SC,Sim
55476,,Sangão,SANTA CATARINA,SC,Sim
55492,,Barra do Sul,SANTA CATARINA,SC,Sim
55514,,São João do Itaperiú,SANTA CATARINA,SC,Sim
55530,,Calmon,SANTA CATARINA,SC,Sim
55557,,Santa Terezinha,SANTA CATARINA,SC,Sim
55573,,Braço do Trombudo,SANTA CATARINA,SC,Sim
55590,,Mirim Doce,SANTA CATARINA,SC,Sim
55611,,Monte Carlo,SANTA CATARINA,SC,Sim
55638,,Vargem,SANTA CATARINA,SC,Sim
55654,,Vargem Bonita,SANTA CATARINA,SC,Sim
55670,,Cerro Negro,SANTA CATARINA,SC,Sim
55697,,Ponte Alta do Norte,SANTA CATARINA,SC,Sim
55719,,Rio Rufino,SANTA CATARINA,SC,Sim
55735,,São Cristovão do Sul,SANTA CATARINA,SC,Sim
55751,,Macieira,SANTA CATARINA,SC,Sim
55778,,Águas Frias,SANTA CATARINA,SC,Sim
55794,,Cordilheira Alta,SANTA CATARINA,SC,Sim
55816,,Formosa do Sul,SANTA CATARINA,SC,Sim
55832,,Guatambu,SANTA CATARINA,SC,Sim
55859,,Irati,SANTA CATARINA,SC,Sim
55875,,Jardinópolis,SANTA CATARINA,SC,Sim
55891,,Nova Itaberaba,SANTA CATARINA,SC,Sim
55913,,Novo Horizonte,SANTA CATARINA,SC,Sim
55930,,Planalto Alegre,SANTA CATARINA,SC,Sim
55956,,Sul Brasil,SANTA CATARINA,SC,Sim
55972,,Arabutá,SANTA CATARINA,SC,Sim
55999,,Arvoredo,SANTA CATARINA,SC,Sim
57355,,Coronel Martins,SANTA CATARINA,SC,Sim
57371,,Ipuaçu,SANTA CATARINA,SC,Sim
57398,,Lageado Grande,SANTA CATARINA,SC,Sim
57410,,Ouro Verde,SANTA CATARINA,SC,Sim
57436,,Passos Maia,SANTA CATARINA,SC,Sim
57452,,Belmonte,SANTA CATARINA,SC,Sim
57479,,Paraíso,SANTA CATARINA,SC,Sim
57495,,Riqueza,SANTA CATARINA,SC,Sim
57517,,Santa Helena,SANTA CATARINA,SC,Sim
57533,,São João do Oeste,SANTA CATARINA,SC,Sim
57550,,São Miguel da Boa Vista,SANTA CATARINA,SC,Sim
80012,,Abelardo Luz,SANTA CATARINA,SC,Sim
80039,,Agrolândia,SANTA CATARINA,SC,Sim
80055,,Agronômica,SANTA CATARINA,SC,Sim
80071,,Água Doce,SANTA CATARINA,SC,Sim
80098,,Águas de Chapecó,SANTA CATARINA,SC,Sim
80110,,Águas Mornas,SANTA CATARINA,SC,Sim
80136,,Alfredo Wagner,SANTA CATARINA,SC,Sim
