Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
26476,,Santana do São Francisco,SERGIPE,SE,Sim
31011,,Amparo de São Francisco,SERGIPE,SE,Sim
31038,,Aquidabã,SERGIPE,SE,Sim
31054,,Aracaju,SERGIPE,SE,Sim
31070,,Arauá,SERGIPE,SE,Sim
31097,,Areia Branca,SERGIPE,SE,Sim
31119,,Barra dos Coqueiros,SERGIPE,SE,Sim
31135,,Brejo Grande,SERGIPE,SE,Sim
31151,,Boquim,SERGIPE,SE,Sim
31194,,Campo do Brito,SERGIPE,SE,Sim
31216,,Canhoba,SERGIPE,SE,Sim
31232,,Canindé de São Francisco,SERGIPE,SE,Sim
31259,,Capela,SERGIPE,SE,Sim
31275,,Carira,SERGIPE,SE,Sim
31291,,Carmópolis,SERGIPE,SE,Sim
31313,,Cedro de São João,SERGIPE,SE,Sim
31330,,Cristinápolis,SERGIPE,SE,Sim
31356,,Nossa Senhora Aparecida,SERGIPE,SE,Sim
31372,,Cumbe,SERGIPE,SE,Sim
31399,,Divina Pastora,SERGIPE,SE,Sim
31410,,Estância,SERGIPE,SE,Sim
31437,,Feira Nova,SERGIPE,SE,Sim
31453,,Frei Paulo,SERGIPE,SE,Sim
31470,,General Maynard,SERGIPE,SE,Sim
31496,,Gararu,SERGIPE,SE,Sim
31518,,Graccho Cardoso,SERGIPE,SE,Sim
31534,,Ilha das Flores,SERGIPE,SE,Sim
31550,,Indiaroba,SERGIPE,SE,Sim
31577,,Itabaiana,SERGIPE,SE,Sim
31593,,Itabaianinha,SERGIPE,SE,Sim
31615,,Itabi,SERGIPE,SE,Sim
31631,,Itaporanga D´ajuda,SERGIPE,SE,Sim
31658,,Japaratuba,SERGIPE,SE,Sim
31674,,Japoatã,SERGIPE,SE,Sim
31690,,Lagarto,SERGIPE,SE,Sim
31712,,Laranjeiras,SERGIPE,SE,Sim
31739,,Macambira,SERGIPE,SE,Sim
31755,,Malhada dos Bois,SERGIPE,SE,Sim
31771,,Malhador,SERGIPE,SE,Sim
31798,,Maruim,SERGIPE,SE,Sim
31810,,Moita Bonita,SERGIPE,SE,Sim
31836,,Monte Alegre de Sergipe,SERGIPE,SE,Sim
31852,,Muribeca,SERGIPE,SE,Sim
31879,,Neópolis,SERGIPE,SE,Sim
31895,,Nossa Senhora da Glória,SERGIPE,SE,Sim
31917,,Nossa Senhora das Dores,SERGIPE,SE,Sim
31933,,Nossa Senhora de Lourdes,SERGIPE,SE,Sim
31950,,Nossa Senhora do Socorro,SERGIPE,SE,Sim
31976,,Pacatuba,SERGIPE,SE,Sim
31992,,Pedra Mole,SERGIPE,SE,Sim
32018,,Pedrinhas,SERGIPE,SE,Sim
32034,,Pinhão,SERGIPE,SE,Sim
32050,,Pirambu,SERGIPE,SE,Sim
32077,,Poço Redondo,SERGIPE,SE,Sim
32093,,Poço Verde,SERGIPE,SE,Sim
32115,,Porto da Folha,SERGIPE,SE,Sim
32131,,Propriá,SERGIPE,SE,Sim
32158,,Riachão do Dantas,SERGIPE,SE,Sim
32174,,Riachuelo,SERGIPE,SE,Sim
32190,,Ribeirópolis,SERGIPE,SE,Sim
32212,,Rosário do Catete,SERGIPE,SE,Sim
32239,,Salgado,SERGIPE,SE,Sim
32255,,Santa Luzia do Itanhy,SERGIPE,SE,Sim
32298,,Santa Rosa de Lima,SERGIPE,SE,Sim
32310,,Santo Amaro das Brotas,SERGIPE,SE,Sim
32336,,São Cristovão,SERGIPE,SE,Sim
32352,,São Domingos,SERGIPE,SE,Sim
32379,,São Francisco,SERGIPE,SE,Sim
32395,,São Miguel do Aleixo,SERGIPE,SE,Sim
32417,,Simão Dias,SERGIPE,SE,Sim
32433,,Siriri,SERGIPE,SE,Sim
32450,,Telha,SERGIPE,SE,Sim
32476,,Tobias Barreto,SERGIPE,SE,Sim
32492,,Tomar do Geru,SERGIPE,SE,Sim
32514,,Umbaúba,SERGIPE,SE,Sim
