Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
7900,,Arco-Iris,SÃO PAULO,SP,Sim
7960,,FERNAO,SÃO PAULO,SP,Sim
7986,,Gavião Peixoto,SÃO PAULO,SP,Sim
8265,,TRABIJU,SÃO PAULO,SP,Sim
29378,,Lourdes,SÃO PAULO,SP,Sim
29394,,Santo Antônio do Aracanguá,SÃO PAULO,SP,Sim
29416,,São João de Iracema,SÃO PAULO,SP,Sim
29432,,Ilha Solteira,SÃO PAULO,SP,Sim
29459,,Suzanópolis,SÃO PAULO,SP,Sim
29475,,Canitar,SÃO PAULO,SP,Sim
29491,,Engenheiro Coelho,SÃO PAULO,SP,Sim
29513,,Hortolândia,SÃO PAULO,SP,Sim
29530,,Holambra,SÃO PAULO,SP,Sim
29556,,Tuiuti,SÃO PAULO,SP,Sim
29572,,Vargem,SÃO PAULO,SP,Sim
29599,,Estiva Gerbi,SÃO PAULO,SP,Sim
29610,,Emilianópolis,SÃO PAULO,SP,Sim
29637,,Pedrinhas Paulista,SÃO PAULO,SP,Sim
29653,,Bertioga,SÃO PAULO,SP,Sim
29670,,Cajati,SÃO PAULO,SP,Sim
29696,,Ilha Comprida,SÃO PAULO,SP,Sim
29718,,Ubarana,SÃO PAULO,SP,Sim
29734,,Zacarias,SÃO PAULO,SP,Sim
29750,,Elisiário,SÃO PAULO,SP,Sim
29777,,Marapoama,SÃO PAULO,SP,Sim
29793,,Novais,SÃO PAULO,SP,Sim
29815,,Aspásia,SÃO PAULO,SP,Sim
29831,,Mesópolis,SÃO PAULO,SP,Sim
29858,,Nova Canaã Paulista,SÃO PAULO,SP,Sim
29874,,Pontalinda,SÃO PAULO,SP,Sim
29890,,Parisi,SÃO PAULO,SP,Sim
29912,,Arapei,SÃO PAULO,SP,Sim
29939,,Potim,SÃO PAULO,SP,Sim
29955,,Alambari,SÃO PAULO,SP,Sim
29971,,Barra do Chapéu,SÃO PAULO,SP,Sim
29998,,Campina do Monte Alegre,SÃO PAULO,SP,Sim
30538,,Itaóca,SÃO PAULO,SP,Sim
30554,,Itapirapuã Paulista,SÃO PAULO,SP,Sim
30570,,Ribeirão Grande,SÃO PAULO,SP,Sim
30597,,Bom Sucesso de Itararé,SÃO PAULO,SP,Sim
30619,,Nova Campina,SÃO PAULO,SP,Sim
30635,,Taquarivai,SÃO PAULO,SP,Sim
30651,,Alumínio,SÃO PAULO,SP,Sim
30678,,Aracariguama,SÃO PAULO,SP,Sim
32271,,Torre de Pedra,SÃO PAULO,SP,Sim
54453,,Saltinho,SÃO PAULO,SP,Sim
54470,,São Lourenço da Serra,SÃO PAULO,SP,Sim
61018,,Adamantina,SÃO PAULO,SP,Sim
61034,,Adolfo,SÃO PAULO,SP,Sim
61050,,Aguai,SÃO PAULO,SP,Sim
61077,,Águas da Prata,SÃO PAULO,SP,Sim
61093,,Águas de Lindóia,SÃO PAULO,SP,Sim
61115,,Águas de São Pedro,SÃO PAULO,SP,Sim
61131,,Agudos,SÃO PAULO,SP,Sim
61158,,Alfredo Marcondes,SÃO PAULO,SP,Sim
61174,,Altair,SÃO PAULO,SP,Sim
61190,,Altinópolis,SÃO PAULO,SP,Sim
61212,,Alto Alegre,SÃO PAULO,SP,Sim
61239,,Alvares Florence,SÃO PAULO,SP,Sim
61255,,Alvares Machado,SÃO PAULO,SP,Sim
61271,,Alvaro de Carvalho,SÃO PAULO,SP,Sim
61298,,Alvinlândia,SÃO PAULO,SP,Sim
61310,,Americana,SÃO PAULO,SP,Sim
61336,,Américo Brasiliense,SÃO PAULO,SP,Sim
61352,,Americo de Campos,SÃO PAULO,SP,Sim
61379,,Amparo,SÃO PAULO,SP,Sim
61395,,Analândia,SÃO PAULO,SP,Sim
61417,,Andradina,SÃO PAULO,SP,Sim
61433,,Angatuba,SÃO PAULO,SP,Sim
61450,,Anhembi,SÃO PAULO,SP,Sim
61476,,Anhúmas,SÃO PAULO,SP,Sim
61492,,Aparecida,SÃO PAULO,SP,Sim
61514,,Aparecida D´Oeste,SÃO PAULO,SP,Sim
61530,,Apiaí,SÃO PAULO,SP,Sim
61557,,Araçatuba,SÃO PAULO,SP,Sim
61573,,Araçoiaba da Serra,SÃO PAULO,SP,Sim
61590,,Aramina,SÃO PAULO,SP,Sim
61611,,Arandu,SÃO PAULO,SP,Sim
61638,,Araraquara,SÃO PAULO,SP,Sim
61654,,Araras,SÃO PAULO,SP,Sim
61670,,Arealva,SÃO PAULO,SP,Sim
61697,,Areias,SÃO PAULO,SP,Sim
61719,,Areiópolis,SÃO PAULO,SP,Sim
61735,,Ariranha,SÃO PAULO,SP,Sim
61751,,Artur Nogueira,SÃO PAULO,SP,Sim
61778,,Arujá,SÃO PAULO,SP,Sim
61794,,Assis,SÃO PAULO,SP,Sim
61816,,Atibaia,SÃO PAULO,SP,Sim
61832,,Auriflama,SÃO PAULO,SP,Sim
61859,,Avai,SÃO PAULO,SP,Sim
61875,,Avanhandava,SÃO PAULO,SP,Sim
61891,,Avaré,SÃO PAULO,SP,Sim
61913,,Bady Bassitt,SÃO PAULO,SP,Sim
61930,,Balbinos,SÃO PAULO,SP,Sim
61956,,Balsamo,SÃO PAULO,SP,Sim
61972,,Bananal,SÃO PAULO,SP,Sim
61999,,Barbosa,SÃO PAULO,SP,Sim
62014,,Barão de Antonina,SÃO PAULO,SP,Sim
62030,,Bariri,SÃO PAULO,SP,Sim
62057,,Barra Bonita,SÃO PAULO,SP,Sim
62073,,Barra do Turvo,SÃO PAULO,SP,Sim
62090,,Barretos,SÃO PAULO,SP,Sim
