Id,Código IBGE,Nome,Nome da UF,Sigla da UF,Ativo
868,,LAVANDEIRA,TOCANTIS,TO,Sim
906,,MONTE SANTO DO TOCANTINS,TOCANTIS,TO,Sim
965,,SANTA RITA DO TOCANTINS,TOCANTIS,TO,Sim
1023,,TUPIRAMA,TOCANTIS,TO,Sim
1651,,Angico,TOCANTIS,TO,Sim
1678,,Aragominas,TOCANTIS,TO,Sim
1694,,Araguanã,TOCANTIS,TO,Sim
1716,,Cachoeirinha,TOCANTIS,TO,Sim
1732,,Campos Lindos,TOCANTIS,TO,Sim
1759,,Carmolândia,TOCANTIS,TO,Sim
1775,,Carrasco Bonito,TOCANTIS,TO,Sim
1791,,Darcinópolis,TOCANTIS,TO,Sim
1813,,Esperantina,TOCANTIS,TO,Sim
1830,,Maurilândia do Tocantins,TOCANTIS,TO,Sim
1856,,Mosquito,TOCANTIS,TO,Sim
1872,,Muricilândia,TOCANTIS,TO,Sim
1899,,Palmeirante,TOCANTIS,TO,Sim
1910,,Pau D´Arco,TOCANTIS,TO,Sim
1937,,Riachinho,TOCANTIS,TO,Sim
1953,,Santa Fé do Araguaia,TOCANTIS,TO,Sim
1970,,São Bento do Tocantins,TOCANTIS,TO,Sim
1996,,São Miguel do Tocantins,TOCANTIS,TO,Sim
3174,,Mateiros,TOCANTIS,TO,Sim
3212,,Novo Jardim,TOCANTIS,TO,Sim
3239,,Rio da Conceição,TOCANTIS,TO,Sim
3255,,Taipas do Tocantins,TOCANTIS,TO,Sim
3271,,Cariri do Tocantins,TOCANTIS,TO,Sim
3298,,Jaú do Tocantins,TOCANTIS,TO,Sim
3310,,Sandolândia,TOCANTIS,TO,Sim
3336,,São Salvador do Tocantins,TOCANTIS,TO,Sim
3352,,Sucupira,TOCANTIS,TO,Sim
3379,,Abreulândia,TOCANTIS,TO,Sim
3395,,Brasilândia do Tocantins,TOCANTIS,TO,Sim
3417,,Bom Jesus do Tocantins,TOCANTIS,TO,Sim
3433,,Centenário,TOCANTIS,TO,Sim
3450,,Fortaleza do Tabocão,TOCANTIS,TO,Sim
3476,,Itapiratins,TOCANTIS,TO,Sim
3492,,Juarina,TOCANTIS,TO,Sim
3514,,Lajeado,TOCANTIS,TO,Sim
3530,,Lagoa do Tocantins,TOCANTIS,TO,Sim
3557,,Piraquê,TOCANTIS,TO,Sim
3573,,Recursolândia,TOCANTIS,TO,Sim
3590,,Rio dos Bois,TOCANTIS,TO,Sim
3611,,Santa Maria do Tocantins,TOCANTIS,TO,Sim
3638,,São Félix do Tocantins,TOCANTIS,TO,Sim
3654,,Tupiratins,TOCANTIS,TO,Sim
3670,,Lagoa da Confusão,TOCANTIS,TO,Sim
92070,,Almas,TOCANTIS,TO,Sim
92134,,Alvorada,TOCANTIS,TO,Sim
92193,,Ananás,TOCANTIS,TO,Sim
92371,,Araguacema,TOCANTIS,TO,Sim
92398,,Araguaçu,TOCANTIS,TO,Sim
92410,,Araguaína,TOCANTIS,TO,Sim
92436,,Araguatins,TOCANTIS,TO,Sim
92452,,Arapoema,TOCANTIS,TO,Sim
92479,,Arraias,TOCANTIS,TO,Sim
92533,,Aurora do Tocantins,TOCANTIS,TO,Sim
92576,,Axixá do Tocantins,TOCANTIS,TO,Sim
92592,,Babaçulândia,TOCANTIS,TO,Sim
92738,,Brejinho de Nazaré,TOCANTIS,TO,Sim
93114,,Colinas do Tocantins,TOCANTIS,TO,Sim
93130,,Conceição do Tocantins,TOCANTIS,TO,Sim
93211,,Couto de Magalhães,TOCANTIS,TO,Sim
93238,,Cristalândia,TOCANTIS,TO,Sim
93416,,Dianópolis,TOCANTIS,TO,Sim
93459,,Dois Irmãos do Tocantins,TOCANTIS,TO,Sim
93475,,Duerê,TOCANTIS,TO,Sim
93556,,Filadélfia,TOCANTIS,TO,Sim
93653,,Formoso do Araguaia,TOCANTIS,TO,Sim
93858,,Gurupi,TOCANTIS,TO,Sim
94056,,Itacajá,TOCANTIS,TO,Sim
94099,,Itaguatins,TOCANTIS,TO,Sim
94170,,Itaporã do Tocantins,TOCANTIS,TO,Sim
94412,,Aliança do Tocantins,TOCANTIS,TO,Sim
94617,,Miracema do Tocantins,TOCANTIS,TO,Sim
94633,,Miranorte,TOCANTIS,TO,Sim
94692,,Monte do Carmo,TOCANTIS,TO,Sim
94811,,Natividade,TOCANTIS,TO,Sim
94838,,Nazaré,TOCANTIS,TO,Sim
94994,,Novo Acordo,TOCANTIS,TO,Sim
95192,,Paraíso do Tocantins,TOCANTIS,TO,Sim
95214,,Paraná,TOCANTIS,TO,Sim
95257,,Pedro Afonso,TOCANTIS,TO,Sim
95273,,Peixe,TOCANTIS,TO,Sim
95290,,Colméia,TOCANTIS,TO,Sim
95338,,Goiatins,TOCANTIS,TO,Sim
95370,,Pindorama do Tocantins,TOCANTIS,TO,Sim
95478,,Pium,TOCANTIS,TO,Sim
95516,,Ponte Alta do Bom Jesus,TOCANTIS,TO,Sim
95532,,Ponte Alta do Tocantins,TOCANTIS,TO,Sim
95591,,Porto Nacional,TOCANTIS,TO,Sim
95699,,Lizarda,TOCANTIS,TO,Sim
96032,,São Sebastião do Tocantins,TOCANTIS,TO,Sim
96130,,Sítio Novo do Tocantins,TOCANTIS,TO,Sim
96156,,Taguatinga,TOCANTIS,TO,Sim
96199,,Tocantínia,TOCANTIS,TO,Sim
96210,,Tocantinópolis,TOCANTIS,TO,Sim
96270,,Guaraí,TOCANTIS,TO,Sim
96296,,Presidente Kennedy,TOCANTIS,TO,Sim
96431,,Xambioá,TOCANTIS,TO,Sim
96490,,Palmeirópolis,TOCANTIS,TO,Sim
96598,,Silvanópolis,TOCANTIS,TO,Sim
96636,,Nova Olinda,TOCANTIS,TO,Sim
96652,,Wanderlândia,TOCANTIS,TO,Sim
96679,,Figueirópolis,TOCANTIS,TO,Sim
96792,,Rio Sono,TOCANTIS,TO,Sim
96830,,Fátima,TOCANTIS,TO,Sim
96857,,Augustinópolis,TOCANTIS,TO,Sim
96911,,São Valério da Natividade,TOCANTIS,TO,Sim
96938,,Barrolândia,TOCANTIS,TO,Sim
96954,,Bernardo Sayão,TOCANTIS,TO,Sim
